sample,mass,salinity,Sample.ID,Type, Notes
20190121_JUNK,59.4787,28,JUNK,JUNK,
20190121_CRM1,59.2081,33.782,CRM1,CRM,Bottle #178-1157
20190121_CRM2,59.0664,33.782,CRM2,CRM,Bottle #178-1157
