sample,mass,salinity,Sample.ID,Type, Notes
20190121_T0,60.434,28.48,T0,Conical,"target conicals for embryo ""hatch"""
20190121_T1,60.8781,28.46,T1,Conical,"target conicals for embryo ""hatch"""
20190121_T2,60.0537,28.47,T2,Conical,"target conicals for embryo ""hatch"""
20190121_T3,59.9826,28.46,T3,Conical,"target conicals for embryo ""hatch"""
