sample,mass,salinity,Sample.ID,Type, Notes
20190121_1B,59.7625,28.31,1B,Broodstock,
20190121_2B,59.4236,28.43,2B,Broodstock,
20190121_3B,60.0577,28.46,3B,Broodstock,
20190121_4B,60.4811,28.44,4B,Broodstock,
20190121_5B,60.9668,28.45,5B,Broodstock,
20190121_6B,60.7604,28.46,6B,Broodstock,
