mVTris,TTris
-86.2,10.144
-85.6,10.315
-85.3,10.688
-85,10.968
-84.8,11.517
-84.4,11.774
-83.9,12.11
-83.6,12.499
-82.9,13.375
-82.4,13.704
-82,14.097
-81.6,14.449
-81.1,15.349
