mVTris,TTris
-87.8,9.199
-87.4,9.789
-87,10.316
-86.6,10.59
-86.1,11.47
-85.8,11.94
-85.5,12.242
-85,12.551
-84.6,12.867
-83.9,13.503
-83.4,13.929
-82.9,14.298
