mVTris,TTris
-88.8,9.24
-87.4,10.559
-86.9,10.863
-86.5,11.178
-86.1,11.629
-85.3,12.219
-84.8,12.744
-84.5,13.076
-84,13.313
-83.7,13.571
-83.4,13.856
-83,14.144
