mVTris,TTris
-86.7,9.985
-86.3,10.241
-85.8,11.39
-85,11.948
-83.7,12.966
-83.4,13.233
-82.7,13.408
-81.5,14.117
-81.3,14.328
-81,14.574
-80.6,14.988
