mVTris,TTris
-84.1,10.333
-83.8,10.899
-82.4,12.242
-82.2,12.526
-81.6,12.948
-81.3,13.344
-81.1,13.69
-80.3,14.597
-80,14.746
-79.3,15.245
-78.7,15.703
