mVTris,TTris
-87.2,10.952
-87,11.172
-86.7,11.468
-86.4,11.943
-85.9,12.401
-85.7,12.688
-85.3,12.951
-85,13.184
-84.7,13.393
-84.5,13.557
-84.1,13.947
-83.8,14.202
