mVTris,TTris
-88.3,10.179
-87.9,10.49
-87.5,10.845
-87.1,11.133
-86.6,11.527
-85.9,12.179
-85.4,12.459
-85.2,12.768
-84.7,13.03
-84.5,13.286
-83.9,13.685
-83.5,13.928
-83.2,14.205
