mVTris,TTris
-88,8.492
-87.6,8.867
-86.9,9.171
-86.5,9.46
-86.1,9.846
-85.7,10.164
-85.4,10.463
-85.1,10.708
-84.7,11.056
-84,11.69
-83.7,12.003
-83,12.604
-82.8,12.855
-82.3,13.217
-81.4,13.947
-81.1,14.196
