Measurement Name :,20190204_resp_larvae_T1,,Generated On :,"04/02/2019, 18:01:38",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"04/02/2019, 16:37:12",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"04/02/2019, 18:01:25",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
04.02.19 16:37:14,0.03,286.03,285.58,291.97,277.42,283.76,281.94,280.58,281.04,273.81,273.81,269.77,270.67,272.46,271.56,272.91,260.84,272.91,270.67,273.36,258.62,273.36,267.98,264.4,259.06,,13,968,28,12.22,
04.02.19 16:37:29,0.28,279.68,280.13,291.06,279.23,276.06,281.49,281.04,275.16,271.56,274.26,267.98,271.11,272.01,269.77,272.46,259.06,272.91,268.42,272.01,259.51,273.81,267.08,266.64,260.4,,13,968,28,12.25,
04.02.19 16:37:45,0.55,279.68,283.76,293.8,276.06,283.76,279.23,279.68,279.68,273.81,275.16,272.01,271.11,270.67,270.67,274.71,258.18,274.26,268.87,273.36,257.73,271.11,267.08,264.4,259.95,,13,968,28,12.29,
04.02.19 16:38:00,0.8,281.94,278.77,292.89,277.87,280.58,281.94,280.13,276.52,275.61,272.91,269.32,272.46,269.77,272.46,270.22,257.73,272.91,269.32,274.26,259.06,273.36,265.74,266.64,260.84,,13,968,28,12.31,
04.02.19 16:38:15,1.05,279.68,281.94,286.49,277.87,280.58,280.13,279.68,279.68,271.56,273.36,267.08,270.22,271.11,268.87,272.01,256.85,274.26,268.42,271.56,260.4,273.81,267.53,265.74,258.62,,13,968,28,12.36,
04.02.19 16:38:30,1.3,287.86,284.21,293.35,278.32,282.4,279.68,279.68,273.81,271.11,270.67,270.22,270.22,271.56,270.22,272.91,260.4,272.46,268.42,272.91,261.29,270.67,267.98,266.64,259.51,,13,968,28,12.36,
04.02.19 16:38:45,1.55,278.32,287.4,296.1,277.42,279.23,280.58,283.31,277.42,270.67,273.81,271.11,272.01,269.32,268.42,268.87,257.73,272.01,268.42,269.77,257.73,273.36,266.64,267.08,259.51,,13,968,28,12.38,
04.02.19 16:39:00,1.8,283.76,285.58,289.68,277.87,277.87,278.32,281.94,276.06,272.01,271.11,268.42,267.08,269.77,271.11,269.77,258.18,273.36,267.08,270.67,260.4,272.46,267.08,264.4,259.06,,13,968,28,12.39,
04.02.19 16:39:15,2.05,283.76,285.58,292.89,276.97,280.58,280.58,279.23,277.87,272.91,273.81,270.22,269.32,271.56,270.67,269.32,259.95,272.91,268.42,270.67,257.29,274.71,267.08,265.74,257.29,,13,968,28,12.39,
04.02.19 16:39:30,2.3,282.4,286.03,288.31,277.42,279.68,278.77,284.21,279.23,271.11,268.42,270.67,269.77,272.91,269.77,273.81,259.51,272.01,267.98,270.67,258.18,273.81,267.53,266.19,260.4,,13,968,28,12.41,
04.02.19 16:39:45,2.55,286.03,287.4,292.89,276.97,279.68,281.04,281.94,279.23,270.22,272.46,272.46,268.87,270.22,267.53,273.81,257.29,271.56,267.53,271.56,259.51,272.91,267.53,267.08,259.95,,13,968,28,12.41,
04.02.19 16:40:00,2.8,283.76,282.4,289.68,276.06,282.4,283.31,280.13,277.42,268.87,271.11,272.46,269.32,268.42,271.56,270.67,257.29,271.56,267.53,272.46,259.06,274.71,267.08,266.64,259.51,,13,968,28,12.43,
04.02.19 16:40:15,3.05,281.94,279.23,294.26,275.16,279.68,281.94,284.67,277.42,272.91,269.32,272.46,266.64,271.11,269.32,272.01,259.06,270.67,266.19,270.67,256.85,274.26,266.64,265.74,258.62,,13,968,28,12.43,
04.02.19 16:40:31,3.32,283.76,285.58,289.23,274.71,275.16,278.32,279.68,273.81,274.71,269.77,271.11,270.67,270.22,269.32,268.42,257.29,272.01,267.08,271.56,258.18,272.91,267.98,264.85,259.06,,13,968,28,12.45,
04.02.19 16:40:46,3.57,283.31,283.76,289.23,277.42,279.23,275.61,279.68,275.16,273.36,272.46,267.98,271.56,271.11,269.32,273.36,257.29,270.67,266.64,272.46,255.52,274.26,267.53,265.3,259.06,,13,968,28,12.45,
04.02.19 16:41:01,3.82,281.94,282.4,291.06,275.16,283.76,283.31,280.58,276.06,275.61,272.01,270.67,270.22,269.77,267.53,270.22,259.06,272.01,267.98,271.56,259.51,274.71,268.42,267.08,256.85,,13,968,28,12.45,
04.02.19 16:41:16,4.07,283.76,289.23,295.18,276.06,279.68,276.97,282.85,276.06,272.91,270.67,269.32,268.42,269.32,269.32,271.56,256.41,271.56,266.64,271.11,256.41,274.26,266.64,266.64,258.18,,13,968,28,12.45,
04.02.19 16:41:31,4.32,285.58,285.58,291.06,277.42,277.87,276.97,281.94,280.58,269.77,272.01,270.22,268.87,271.56,267.53,269.32,259.95,271.56,266.64,270.67,255.08,273.36,266.64,267.08,256.85,,13,968,28,12.45,
04.02.19 16:41:46,4.57,283.31,286.95,291.97,270.67,280.58,280.58,277.87,275.61,272.46,270.22,271.56,272.46,271.11,269.32,270.67,254.64,270.22,266.64,271.56,253.75,272.91,267.98,266.64,258.62,,13,968,28,12.47,
04.02.19 16:42:01,4.82,280.13,287.4,289.23,276.97,279.68,276.97,277.42,280.13,272.01,272.46,270.67,269.32,270.67,270.67,269.77,259.06,272.91,266.19,272.91,258.18,272.91,267.08,267.53,261.73,,13,968,28,12.47,
04.02.19 16:42:16,5.07,281.94,284.21,291.51,276.06,281.04,276.97,283.76,278.32,271.11,270.67,271.11,267.53,271.11,270.22,267.98,256.41,271.11,266.19,272.01,256.41,273.36,268.87,266.19,259.51,,13,968,28,12.47,
04.02.19 16:42:31,5.32,283.76,278.77,294.26,276.06,276.06,280.58,281.94,281.04,272.01,272.91,270.22,266.64,268.42,268.87,271.11,256.41,271.56,266.19,271.56,257.73,272.01,267.53,264.4,259.51,,13,968,28,12.48,
04.02.19 16:42:46,5.57,279.68,285.58,295.64,277.42,283.76,280.58,280.13,273.36,273.81,270.22,269.32,267.53,269.77,269.32,272.46,260.4,270.22,267.53,269.32,258.18,273.81,267.53,268.42,255.96,,13,968,28,12.49,
04.02.19 16:43:01,5.82,286.03,286.03,292.43,274.71,278.32,276.06,276.06,278.32,272.01,270.22,268.87,269.77,272.01,268.87,269.32,257.29,270.67,267.08,271.11,258.62,275.61,269.32,265.74,259.51,,13,968,28,12.48,
04.02.19 16:43:16,6.07,283.76,283.76,288.77,277.42,276.06,278.32,279.23,274.71,268.87,271.11,269.77,267.53,270.67,266.64,269.32,259.06,269.77,265.74,271.56,257.29,272.91,270.22,266.64,257.29,,13,968,28,12.49,
04.02.19 16:43:31,6.32,281.94,282.4,294.26,276.97,278.32,283.31,280.13,276.97,273.81,272.91,270.67,268.87,271.11,268.87,268.87,257.29,271.11,267.08,271.56,259.51,274.26,267.53,266.19,259.51,,13,968,28,12.49,
04.02.19 16:43:46,6.57,283.76,283.76,291.06,275.61,276.52,283.31,280.13,276.06,272.01,271.11,268.87,271.11,271.56,270.22,271.56,256.41,267.98,267.53,272.01,256.85,273.81,269.77,267.08,258.18,,13,968,28,12.52,
04.02.19 16:44:01,6.82,287.4,278.77,292.43,275.61,274.71,281.94,281.04,277.42,270.22,268.87,272.46,269.77,270.67,269.77,269.32,258.18,270.22,266.64,271.11,257.29,273.36,269.32,265.3,257.73,,13,968,28,12.52,
04.02.19 16:44:16,7.07,279.68,277.42,291.51,276.97,279.23,280.58,278.77,275.61,272.91,269.77,266.64,268.87,270.67,269.77,270.67,257.73,268.42,266.64,272.91,256.85,272.46,269.32,267.53,256.41,,13,968,28,12.52,
04.02.19 16:44:31,7.32,285.58,287.4,293.8,273.81,275.16,278.32,284.21,274.26,270.22,272.46,270.22,270.22,270.67,269.32,271.11,258.18,268.42,266.19,269.32,257.73,272.91,267.98,265.74,259.95,,13,968,28,12.54,
04.02.19 16:44:47,7.58,283.76,287.4,292.43,273.36,279.23,276.97,280.58,279.68,270.22,271.56,269.32,269.32,270.22,269.32,270.22,257.73,270.67,267.08,269.77,256.85,272.01,268.42,267.53,259.51,,13,968,28,12.52,
04.02.19 16:45:02,7.83,285.58,282.4,293.8,280.13,281.04,281.94,280.58,278.32,271.11,268.87,270.22,264.4,272.46,268.87,270.22,255.08,268.87,265.3,270.67,256.41,274.26,266.64,266.64,259.95,,13,968,28,12.54,
04.02.19 16:45:17,8.08,281.94,287.4,293.35,274.26,279.23,281.94,278.77,273.81,272.01,271.56,270.22,269.32,270.67,268.87,271.11,255.96,269.77,267.98,269.77,256.41,272.91,269.77,266.64,257.73,,13,968,28,12.54,
04.02.19 16:45:32,8.33,287.86,284.21,295.64,274.26,279.23,278.32,277.87,279.68,272.91,269.77,268.42,272.01,272.46,268.87,268.42,256.85,268.87,267.08,270.67,255.96,273.36,268.87,268.42,259.95,,13,968,28,12.54,
04.02.19 16:45:47,8.58,285.58,282.4,288.31,272.91,279.23,278.32,277.87,273.36,271.11,268.87,270.22,270.67,271.56,268.87,270.22,258.18,267.53,266.64,270.67,255.96,273.81,268.42,265.74,258.62,,13,968,28,12.54,
04.02.19 16:46:02,8.83,279.68,280.58,290.14,274.71,274.71,280.58,281.49,277.42,272.46,270.22,269.77,268.87,270.67,267.98,270.67,258.62,268.87,267.53,272.91,254.64,271.11,268.42,266.64,259.06,,13,968,28,12.56,
04.02.19 16:46:17,9.08,281.94,279.23,288.77,272.91,279.68,283.31,281.94,272.46,272.91,270.67,269.77,272.01,271.56,268.87,270.67,257.29,267.53,267.53,272.01,255.08,272.46,271.11,266.64,259.95,,13,968,28,12.56,
04.02.19 16:46:32,9.33,281.94,279.23,289.23,276.52,278.32,281.94,279.23,278.32,270.22,272.46,270.22,267.53,273.36,268.87,269.77,258.62,268.87,266.19,272.01,258.18,272.91,267.08,267.53,261.73,,13,968,28,12.56,
04.02.19 16:46:47,9.58,286.03,287.4,289.23,274.71,279.68,281.04,278.32,275.16,272.01,268.42,272.46,268.42,271.11,267.98,271.11,257.73,267.98,266.19,271.56,258.62,275.16,269.77,266.19,255.96,,13,968,28,12.56,
04.02.19 16:47:02,9.83,289.23,283.76,290.14,274.71,277.87,280.58,280.58,279.68,272.46,271.11,269.77,268.42,270.67,267.98,269.77,259.95,268.42,266.64,272.01,259.51,272.01,268.42,266.64,258.18,,13,968,28,12.56,
04.02.19 16:47:17,10.08,285.58,282.4,289.68,274.71,276.52,281.04,276.52,281.04,271.11,269.32,270.22,270.22,272.46,267.98,271.11,257.73,269.77,267.53,269.77,257.29,273.81,269.32,267.08,260.4,,13,968,28,12.56,
04.02.19 16:47:32,10.33,280.13,279.23,291.51,275.16,279.68,279.68,277.87,275.61,273.81,270.67,268.87,270.22,274.26,268.42,271.56,255.52,268.42,267.53,272.46,256.85,272.91,267.08,268.42,257.29,,13,968,28,12.57,
04.02.19 16:47:47,10.58,281.94,281.94,289.68,273.81,276.06,277.87,276.97,276.97,273.36,266.64,271.56,269.32,270.67,270.22,269.32,256.85,268.42,266.19,270.67,256.85,272.01,269.32,269.77,259.51,,13,968,28,12.57,
04.02.19 16:48:02,10.83,281.94,284.21,294.72,278.32,281.04,281.04,279.68,278.77,273.81,270.67,270.67,268.42,270.22,268.87,272.91,259.51,269.32,267.08,272.46,257.73,274.26,269.32,269.32,259.06,,13,968,28,12.57,
04.02.19 16:48:18,11.1,282.4,282.85,291.51,277.87,276.52,278.32,281.04,279.68,268.42,268.42,270.67,271.11,272.91,270.67,267.98,257.29,267.98,267.53,272.01,256.85,272.46,271.11,266.64,259.06,,13,968,28,12.59,
04.02.19 16:48:33,11.35,283.76,279.23,290.6,278.77,281.04,278.32,276.52,275.61,272.91,271.56,267.08,269.32,272.46,268.42,271.56,256.41,269.77,266.19,272.46,256.85,274.26,269.32,267.53,257.73,,13,968,28,12.59,
04.02.19 16:48:48,11.6,281.94,285.58,288.77,274.26,285.12,277.87,276.97,280.13,271.56,270.22,270.67,267.08,272.01,267.98,268.87,257.29,267.08,265.74,271.11,258.62,272.46,267.53,266.64,259.95,,13,968,28,12.59,
04.02.19 16:49:03,11.85,280.13,284.21,295.18,274.26,281.04,276.97,280.13,274.71,273.81,270.67,272.91,269.32,273.36,269.77,270.67,258.62,267.98,268.42,271.56,254.64,273.81,269.32,267.98,258.62,,13,968,28,12.59,
04.02.19 16:49:18,12.1,285.58,278.77,292.89,276.06,280.58,280.58,276.52,277.42,269.77,271.11,267.98,268.42,270.67,267.08,269.32,257.73,269.77,267.53,269.77,257.29,272.01,268.87,267.08,260.84,,13,968,28,12.59,
04.02.19 16:49:33,12.35,287.4,280.58,298.4,274.26,276.52,280.58,276.97,274.26,272.01,268.87,270.22,272.46,272.46,268.87,269.77,256.41,269.77,265.74,270.67,256.85,271.56,267.98,265.74,260.4,,13,968,28,12.61,
04.02.19 16:49:48,12.6,283.31,286.95,288.31,270.67,278.77,282.85,277.87,277.87,269.77,271.11,271.56,272.46,271.11,267.98,270.22,257.29,268.87,265.3,270.22,255.08,269.77,268.87,267.08,259.51,,13,968,28,12.61,
04.02.19 16:50:03,12.85,281.94,285.58,286.95,279.68,279.23,284.67,277.87,274.71,270.67,268.42,269.77,266.64,272.91,270.22,267.98,256.85,267.98,266.19,269.77,259.51,272.01,268.42,266.64,259.51,,13,968,28,12.59,
04.02.19 16:50:18,13.1,285.58,279.23,293.35,276.97,281.04,280.58,279.68,276.97,272.01,269.77,267.08,269.77,272.46,269.32,269.77,258.62,267.53,266.19,272.01,254.64,272.46,268.42,264.85,257.73,,13,968,28,12.61,
04.02.19 16:50:34,13.37,285.58,288.77,293.35,273.36,280.58,279.23,277.87,276.97,271.56,267.53,270.67,270.22,270.67,269.32,268.87,258.62,269.77,266.64,271.11,258.18,270.22,267.08,267.98,259.06,,13,968,28,12.63,
04.02.19 16:50:49,13.62,285.58,285.58,296.56,275.61,276.06,278.32,276.97,277.42,269.77,272.01,268.87,268.42,270.67,266.64,272.01,259.06,271.11,266.64,272.01,256.85,272.46,267.98,264.85,259.51,,13,968,28,12.61,
04.02.19 16:51:04,13.87,283.76,287.4,288.77,273.81,280.58,284.67,283.76,278.77,270.22,271.56,268.87,268.87,270.22,268.87,271.11,256.41,268.87,266.64,272.91,257.29,272.46,268.87,268.87,259.95,,13,968,28,12.61,
04.02.19 16:51:19,14.12,283.31,286.95,288.31,273.81,277.42,284.21,277.87,280.13,273.36,271.11,268.87,270.67,272.01,267.98,269.32,253.75,269.77,267.08,272.01,256.85,269.32,267.08,264.4,256.85,,13,968,28,12.63,
04.02.19 16:51:34,14.37,284.21,285.58,292.43,277.42,281.04,278.32,277.87,273.36,272.91,268.42,271.56,268.42,271.11,269.77,268.42,257.73,269.32,267.08,271.56,257.29,272.46,269.32,268.87,257.73,,13,968,28,12.63,
04.02.19 16:51:49,14.62,281.49,281.94,293.8,275.16,277.42,276.52,279.23,277.87,273.36,271.11,268.87,268.42,273.81,267.98,269.77,256.85,267.98,266.64,271.56,257.29,272.01,267.98,266.64,258.62,,13,968,28,12.63,
04.02.19 16:52:04,14.87,283.31,280.13,289.68,275.16,277.42,280.58,279.68,273.36,271.56,272.01,270.22,270.67,269.77,269.32,268.87,256.85,267.53,266.19,269.32,256.41,269.32,267.08,267.98,258.18,,13,968,28,12.63,
04.02.19 16:52:19,15.12,277.87,286.95,291.97,272.91,277.87,279.23,276.52,277.87,269.77,271.11,267.98,271.11,272.46,268.87,269.32,256.41,269.32,268.42,272.91,257.29,271.56,267.98,265.74,259.51,,13,968,28,12.64,
04.02.19 16:52:34,15.37,283.76,286.95,291.97,275.16,276.52,280.58,280.13,279.23,272.91,269.77,268.87,267.98,269.77,267.98,269.32,258.18,268.42,267.08,271.56,255.52,268.87,268.87,267.98,260.84,,13,968,28,12.65,
04.02.19 16:52:50,15.63,286.03,285.58,289.68,276.97,281.04,280.58,280.58,275.61,273.81,271.56,269.77,266.64,272.46,271.11,272.91,257.73,269.77,267.08,269.77,259.06,270.67,267.08,265.74,259.06,,13,968,28,12.64,
04.02.19 16:53:05,15.88,283.76,283.76,288.31,275.61,277.42,276.52,276.52,276.97,274.26,272.01,269.77,267.98,270.67,266.64,271.56,258.18,267.08,266.64,269.77,254.2,268.87,268.87,264.85,258.62,,13,968,28,12.63,
04.02.19 16:53:20,16.13,283.76,285.58,292.89,277.87,279.23,280.58,277.42,274.26,269.77,269.77,268.42,269.32,271.56,267.98,271.56,259.06,268.42,266.64,272.01,255.52,270.22,268.87,267.08,257.73,,13,968,28,12.65,
04.02.19 16:53:35,16.38,283.76,281.94,285.58,276.52,277.42,277.87,279.23,276.52,269.77,271.11,269.77,270.22,272.01,268.42,269.32,253.75,267.98,266.64,270.22,257.29,269.32,267.08,266.64,259.51,,13,968,28,12.65,
04.02.19 16:53:50,16.63,281.94,287.4,290.6,276.06,277.87,280.58,278.32,277.42,272.01,270.67,270.22,269.77,272.46,267.53,268.42,256.85,269.32,268.42,271.56,255.96,268.87,268.87,268.42,260.84,,13,968,28,12.66,
04.02.19 16:54:05,16.88,287.86,286.03,290.14,276.06,278.32,281.04,281.49,275.16,272.91,271.56,267.08,271.11,274.26,268.42,272.01,255.96,269.32,266.19,270.67,256.85,272.01,268.87,266.64,259.06,,13,968,28,12.65,
04.02.19 16:54:20,17.13,281.49,281.94,290.6,276.06,274.26,281.49,278.77,273.36,269.32,268.42,269.77,269.32,271.11,266.19,269.32,258.18,267.53,267.53,269.32,254.64,271.11,266.19,266.19,257.73,,13,968,28,12.65,
04.02.19 16:54:35,17.38,279.68,285.12,292.89,276.06,274.71,277.87,278.32,272.91,269.77,270.22,265.74,270.22,270.67,268.42,271.11,256.41,268.87,267.98,271.11,257.73,270.22,267.53,266.64,258.18,,13,968,28,12.66,
04.02.19 16:54:50,17.63,281.94,280.58,296.1,275.61,277.87,279.23,278.32,277.87,272.91,269.77,268.42,270.22,271.56,269.32,270.67,255.52,269.32,266.64,271.56,257.73,269.77,269.77,267.08,258.62,,13,968,28,12.68,
04.02.19 16:55:05,17.88,283.31,283.76,284.21,276.97,278.77,276.52,279.23,274.26,270.67,272.01,267.53,268.42,270.67,266.64,270.67,255.52,268.87,265.74,270.67,255.52,270.22,267.53,267.98,257.73,,13,968,28,12.68,
04.02.19 16:55:20,18.13,283.76,283.76,296.1,277.87,277.87,276.97,276.52,275.61,272.01,268.87,270.22,267.98,270.67,269.32,268.42,256.85,268.87,266.64,270.22,256.85,269.77,268.42,266.64,258.18,,13,968,28,12.68,
04.02.19 16:55:35,18.38,284.21,287.4,294.26,275.61,277.87,279.68,282.85,274.71,272.01,272.46,270.67,266.19,270.22,267.53,271.11,256.41,270.22,267.08,272.01,257.73,271.56,267.08,267.98,257.73,,13,968,28,12.68,
04.02.19 16:55:50,18.63,281.94,288.77,286.95,274.26,283.76,280.58,277.42,272.46,271.56,269.77,270.67,268.42,270.67,269.32,270.22,254.64,269.32,267.08,271.56,257.29,269.77,267.98,267.98,257.73,,13,968,28,12.68,
04.02.19 16:56:06,18.9,281.94,285.58,297.48,274.71,279.23,279.23,277.42,274.26,271.56,267.53,270.67,267.53,270.67,269.32,268.42,257.73,268.42,267.53,270.22,256.41,269.77,267.98,267.98,258.18,,13,968,28,12.68,
04.02.19 16:56:21,19.15,281.94,286.95,296.56,275.61,277.87,284.21,279.23,272.46,272.91,272.91,269.77,267.98,272.46,267.98,268.42,255.08,269.77,267.98,270.67,255.96,270.22,268.87,267.98,259.06,,13,968,28,12.68,
04.02.19 16:56:36,19.4,281.49,283.76,294.26,276.06,280.58,277.87,278.32,281.49,272.46,272.91,268.42,268.42,272.01,267.08,269.32,257.73,268.87,265.74,272.46,257.29,267.53,268.42,267.53,259.95,,13,968,28,12.7,
04.02.19 16:56:51,19.65,285.58,285.58,289.68,276.97,277.87,280.58,281.04,272.01,272.91,270.67,268.87,268.87,273.81,267.98,269.32,257.29,266.64,267.08,271.11,257.73,269.32,270.22,266.64,258.18,,13,968,28,12.68,
04.02.19 16:57:06,19.9,281.94,286.95,289.23,273.81,277.87,277.87,276.52,276.97,272.46,271.11,267.08,267.53,270.67,267.98,270.67,258.62,268.87,266.64,270.22,256.85,270.22,267.53,267.53,259.51,,13,968,28,12.7,
04.02.19 16:57:21,20.15,281.94,282.4,294.72,275.16,281.04,278.32,278.77,277.42,272.01,272.46,269.32,266.64,270.67,267.53,269.77,256.85,268.87,268.87,271.11,257.29,270.22,269.77,269.77,258.18,,13,968,28,12.7,
04.02.19 16:57:36,20.4,281.94,287.4,296.1,276.52,279.23,279.68,281.49,272.91,269.77,270.67,270.22,272.01,272.46,267.98,270.22,256.41,267.98,267.53,271.11,256.41,268.87,269.32,267.53,258.18,,13,968,28,12.7,
