sample,mass,salinity,Sample.ID,Type, Notes
20190125_JUNK,60.6699,28,JUNK,JUNK,
20190125_CRM1,59.0226,33.782,CRM1,CRM,Bottle #178-1157
20190125_CRM2,59.2539,33.782,CRM2,CRM,Bottle #178-1157
