sample,mass,salinity,Sample.ID,Type, Notes
201900404_JUNK,59.1857,28,JUNK,JUNK,
201900404_CRM1,59.1084,33.782,CRM1,CRM,Bottle #178-0486
201900404_CRM2,59.2015,33.782,CRM2,CRM,Bottle #178-1212 (new bottle)
