sample,mass,salinity,Sample.ID,Type, Notes
20190207_T1,60.7321,29.21,T1,conical,
20190206_T0,60.1743,29.32,T0,conical,
20190206_T3,60.3995,29.23,T3,conical,
20190208_T1,59.5559,29.02,T1,conical,
20190208_T2,60.1913,29,T2,conical,
20190206_T1,60.9309,29.19,T1,conical,
20190206_T2,60.354,29.27,T2,conical,
