sample,mass,salinity,Sample.ID,Type, Notes
20190209_JUNK,59.6028,28,JUNK,JUNK,
20190209_CRM1,59.6534,33.782,CRM1,CRM,Bottle #178-1094
20190209_CRM2,59.1352,33.782,CRM2,CRM,Bottle #178-1094
