sample,mass,salinity,Sample.ID,Type, Notes
20190205_JUNK,59.8541,28,JUNK,JUNK,
20190205_CRM1,59.1232,33.782,CRM1,CRM,Bottle #178-1094
20190205_CRM2,59.2253,33.782,CRM2,CRM,Bottle #178-1094
