sample,mass,salinity,Sample.ID,Type, Notes
20190205_heathstack,60.8438,28.36,heathstack,heathstack,
20190205_T0,59.2893,28.47,T0,conical,
20190205_T2,60.1603,28.53,T2,conical,
20190205_1B,60.7418,28.58,1B,broodstock,
20190205_3B,60.5921,28.5,3B,broodstock,
20190205_4B,60.542,28.5,4B,broodstock,
20190205_T1,59.8839,28.53,T1,conical,
20190205_T3,59.6257,28.5,T3,conical,
20190205_2B,59.8558,28.51,2B,broodstock,
