"","Date.Time","TMP_T0","pH_T0","Sal","TMP_T2","pH_T2","TMP_T1","pH_T1","TMP_T3","pH_T3"
"4",2019-02-06 14:50:00,"11.6","6.77","387","118","11.6","7.32","11.3","7.53","11.5"
"5",2019-02-06 15:00:00,"11.7","6.81","386","117","11.6","7.33","11.3","7.53","11.5"
"6",2019-02-06 15:10:00,"11.7","6.82","385","117","11.6","7.36","11.4","7.53","11.5"
"7",2019-02-06 15:20:00,"11.7","6.82","384","113","11.6","7.35","11.4","7.54","11.5"
"8",2019-02-06 15:40:00,"11.6","6.76","358","117","11.5","7.53","11.3","7.56","11.5"
"9",2019-02-06 15:50:00,"11.6","6.82","369","116","11.6","7.49","11.3","7.56","11.5"
"10",2019-02-06 16:00:00,"11.7","6.82","375","116","11.6","7.56","11.4","7.56","11.5"
"11",2019-02-06 16:10:00,"11.7","6.79","377","117","11.6","7.55","11.4","7.56","11.5"
"12",2019-02-06 16:20:00,"11.7","6.80","379","117","11.6","7.54","11.4","7.56","11.6"
"13",2019-02-06 16:30:00,"11.7","6.79","380","117","11.6","7.56","11.5","7.56","11.6"
"14",2019-02-06 16:40:00,"11.8","6.78","380","117","11.6","7.60","11.5","7.56","11.6"
"15",2019-02-06 16:50:00,"11.8","6.78","380","116","11.6","7.66","11.5","7.56","11.6"
"16",2019-02-06 17:00:00,"11.8","6.79","380","116","11.7","7.70","11.5","7.56","11.7"
"17",2019-02-06 17:10:00,"11.8","6.82","380","117","11.7","7.74","11.5","7.56","11.7"
"18",2019-02-06 17:20:00,"11.8","6.81","380","116","11.7","7.79","11.5","7.56","11.7"
"19",2019-02-06 17:30:00,"11.8","6.80","378","117","11.7","7.90","11.6","7.56","11.7"
"20",2019-02-06 17:40:00,"11.9","6.79","378","118","11.7","8.01","11.6","7.56","11.7"
"21",2019-02-06 17:50:00,"11.9","6.78","378","118","11.7","8.09","11.6","7.56","11.8"
"22",2019-02-06 18:00:00,"12.0","6.79","378","117","11.7","8.14","11.6","7.56","11.8"
"23",2019-02-06 18:10:00,"12.0","6.81","378","117","11.8","8.15","11.6","7.56","11.8"
"24",2019-02-06 18:20:00,"12.0","6.81","378","117","11.8","8.15","11.6","7.56","11.8"
