"","Date.Time","TMP_T0","pH_T0","Sal","TMP_T2","pH_T2","TMP_T1","pH_T1","TMP_T3","pH_T3"
"4",2019-01-22 00:00:00,"14.0","6.80","0.0","14.3","7.77","14.2","6.81",NA,NA
"5",2019-01-22 00:10:00,"14.0","6.79","0.0","14.3","7.77","14.2","6.80",NA,NA
"6",2019-01-22 00:20:00,"14.0","6.82","0.0","14.3","7.77","14.2","6.80",NA,NA
"7",2019-01-22 00:30:00,"14.0","6.80","0.0","14.3","7.77","14.2","6.80",NA,NA
"8",2019-01-22 00:40:00,"14.0","6.80","0.0","14.3","7.77","14.2","6.81",NA,NA
"9",2019-01-22 00:50:00,"14.0","6.79","0.0","14.3","7.77","14.2","6.81",NA,NA
"10",2019-01-22 01:00:00,"14.0","6.81","0.0","14.3","7.77","14.2","6.80",NA,NA
"11",2019-01-22 01:10:00,"14.0","6.81","0.0","14.3","7.77","14.2","6.80",NA,NA
"12",2019-01-22 01:20:00,"14.0","6.80","0.0","14.3","7.77","14.2","6.80",NA,NA
"13",2019-01-22 01:30:00,"14.0","6.80","0.0","14.3","7.77","14.3","6.80",NA,NA
"14",2019-01-22 01:40:00,"14.0","6.80","0.0","14.3","7.77","14.3","6.81",NA,NA
"15",2019-01-22 01:50:00,"14.1","6.80","0.0","14.3","7.77","14.3","6.81",NA,NA
"16",2019-01-22 02:00:00,"14.1","6.81","0.0","14.3","7.77","14.3","6.80",NA,NA
"17",2019-01-22 02:10:00,"14.1","6.80","0.0","14.3","7.78","14.3","6.80",NA,NA
"18",2019-01-22 02:20:00,"14.1","6.80","0.0","14.3","7.78","14.3","6.80",NA,NA
"19",2019-01-22 02:30:00,"14.1","6.80","0.0","14.3","7.78","14.3","6.80",NA,NA
"20",2019-01-22 02:40:00,"14.1","6.79","0.0","14.3","7.78","14.3","6.80",NA,NA
"21",2019-01-22 02:50:00,"14.1","6.81","0.0","14.3","7.78","14.3","6.81",NA,NA
"22",2019-01-22 03:00:00,"14.1","6.81","0.0","14.3","7.78","14.3","6.81",NA,NA
"23",2019-01-22 03:10:00,"14.1","6.80","0.0","14.3","7.78","14.3","6.81",NA,NA
"24",2019-01-22 03:20:00,"14.1","6.80","0.0","14.3","7.78","14.3","6.80",NA,NA
"25",2019-01-22 03:30:00,"14.1","6.80","0.0","14.3","7.78","14.3","6.80",NA,NA
"26",2019-01-22 03:40:00,"14.1","6.80","0.0","14.3","7.78","14.3","6.80",NA,NA
"27",2019-01-22 03:50:00,"14.1","6.79","0.0","14.3","7.78","14.3","6.80",NA,NA
"28",2019-01-22 04:00:00,"14.1","6.81","0.0","14.3","7.78","14.3","6.80",NA,NA
"29",2019-01-22 04:10:00,"14.1","6.81","0.0","14.3","7.78","14.3","6.80",NA,NA
"30",2019-01-22 04:20:00,"14.1","6.80","0.0","14.3","7.78","14.3","6.81",NA,NA
"31",2019-01-22 04:30:00,"14.1","6.80","0.0","14.3","7.78","14.3","6.81",NA,NA
"32",2019-01-22 04:40:00,"14.1","6.80","0.0","14.3","7.78","14.3","6.81",NA,NA
"33",2019-01-22 04:50:00,"14.1","6.80","0.0","14.3","7.78","14.3","6.81",NA,NA
"34",2019-01-22 05:00:00,"14.1","6.80","0.0","14.3","7.78","14.3","6.80",NA,NA
"35",2019-01-22 05:10:00,"14.1","6.81","0.0","14.3","7.78","14.3","6.80",NA,NA
"36",2019-01-22 05:20:00,"14.1","6.81","0.0","14.3","7.78","14.3","6.80",NA,NA
"37",2019-01-22 05:30:00,"14.1","6.81","0.0","14.3","7.78","14.3","6.80",NA,NA
"38",2019-01-22 05:40:00,"14.1","6.80","0.0","14.3","7.78","14.3","6.80",NA,NA
