"","Date.Time","TMP_T0","pH_T0","Sal","TMP_T2","pH_T2","TMP_T1","pH_T1","TMP_T3","pH_T3"
"4",2019-01-29 00:00:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.79","13.7","7.19"
"5",2019-01-29 00:10:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.82","13.7","7.19"
"6",2019-01-29 00:20:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.80","13.7","7.19"
"7",2019-01-29 00:30:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.79","13.7","7.22"
"8",2019-01-29 00:40:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.80","13.7","7.25"
"9",2019-01-29 00:50:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.79","13.7","7.27"
"10",2019-01-29 01:00:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.80","13.7","7.29"
"11",2019-01-29 01:10:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.79","13.8","7.31"
"12",2019-01-29 01:20:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.80","13.7","7.32"
"13",2019-01-29 01:30:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.79","13.7","7.34"
"14",2019-01-29 01:40:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.80","13.7","7.36"
"15",2019-01-29 01:50:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.79","13.7","7.38"
"16",2019-01-29 02:00:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.82","13.7","7.39"
"17",2019-01-29 02:10:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.79","13.7","7.40"
"18",2019-01-29 02:20:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.79","13.7","7.42"
"19",2019-01-29 02:30:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.80","13.7","7.44"
"20",2019-01-29 02:40:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.79","13.7","7.45"
"21",2019-01-29 02:50:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.80","13.7","7.46"
"22",2019-01-29 03:00:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.79","13.8","7.47"
"23",2019-01-29 03:10:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.80","13.7","7.48"
"24",2019-01-29 03:20:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.79","13.8","7.49"
"25",2019-01-29 03:30:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.80","13.8","7.50"
"26",2019-01-29 03:40:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.79","13.8","7.50"
"27",2019-01-29 03:50:00,"14.0","7.68","0.0","14.0","7.62","14.3","6.82","13.8","7.51"
"28",2019-01-29 04:00:00,"14.0","7.68","0.0","14.1","7.62","14.3","6.79","13.8","7.52"
"29",2019-01-29 04:10:00,"14.0","7.68","0.0","14.1","7.62","14.3","6.82","13.8","7.53"
"30",2019-01-29 04:20:00,"14.0","7.68","0.0","14.1","7.62","14.3","6.80","13.8","7.53"
"31",2019-01-29 04:30:00,"14.0","7.68","0.0","14.1","7.62","14.3","6.79","13.8","7.54"
