sample,mass,salinity,Sample.ID,Type, Notes
20180214_2B,59.263,27.96,2B,broodstock,
20180214_1B,60.958,27.96,1B,broodstock,
20180214_heathstack,59.1767,27.97,heathstack,broodstock,
20180214_6B,60.8558,27.96,6B,broodstock,
