Measurement Name :,20190130_resp_larvae_T2,,Generated On :,"30/01/2019, 19:35:51",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"30/01/2019, 18:08:14",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"30/01/2019, 19:35:41",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
30.01.19 18:08:17,0.05,285.42,285.87,290.33,285.87,292.57,288.1,287.65,288.54,295.71,293.02,292.12,286.76,290.78,288.1,288.1,284.53,296.61,294.81,294.81,286.76,298.41,299.77,293.92,283.65,,14,968,28,13.84,
30.01.19 18:08:32,0.3,280.98,281.87,285.87,282.31,288.99,287.21,285.42,285.87,293.02,290.33,290.33,284.53,287.21,286.76,286.31,282.76,291.67,292.12,293.92,284.09,297.06,296.16,291.23,281.87,,14,968,28,14.11,
30.01.19 18:08:47,0.55,279.21,280.54,284.98,280.54,286.31,284.53,283.65,284.09,291.67,288.99,288.99,283.65,285.87,285.42,284.98,281.43,290.33,291.23,290.78,282.31,293.92,294.81,289.44,279.21,,14,968,28,14.29,
30.01.19 18:09:02,0.8,277,278.77,283.2,278.77,285.42,284.09,283.2,283.65,289.44,288.54,287.65,281.87,282.31,283.65,284.53,278.33,287.65,290.78,289.44,280.98,293.02,294.36,287.21,278.77,,14,968,28,14.41,
30.01.19 18:09:17,1.05,275.24,277,280.98,277.45,282.76,282.31,280.98,281.43,287.65,286.76,285.42,280.54,281.43,282.31,281.87,277,286.76,288.1,287.65,277.89,287.21,289.88,285.87,276.12,,14,968,28,14.5,
30.01.19 18:09:32,1.3,273.48,274.8,279.66,274.8,282.31,280.54,280.54,279.21,285.87,286.76,286.31,279.21,278.77,282.31,281.43,276.56,284.53,286.76,286.76,277,288.54,290.33,285.42,274.8,,14,968,28,14.59,
30.01.19 18:09:47,1.55,272.16,274.36,277.89,273.92,280.54,279.21,278.77,278.33,285.87,285.42,283.65,278.33,278.33,280.1,280.98,274.36,285.42,285.87,286.31,276.12,286.31,290.33,282.76,276.56,,14,968,28,14.64,
30.01.19 18:10:02,1.8,270.41,274.36,277,273.04,279.66,279.21,278.33,277,284.53,283.65,283.65,276.12,277.89,280.1,280.1,273.92,282.31,284.09,285.87,275.24,284.09,288.1,282.31,272.16,,14,968,28,14.68,
30.01.19 18:10:17,2.05,269.97,272.6,276.56,271.72,278.77,277.89,277.89,276.12,284.98,282.31,281.87,277,276.12,279.21,278.77,272.6,280.98,284.53,284.98,274.36,285.87,286.31,280.1,273.92,,14,968,28,14.73,
30.01.19 18:10:32,2.3,269.09,272.6,276.56,271.72,278.33,277,277.45,276.56,282.76,282.76,282.31,277,274.8,278.77,279.21,272.16,280.54,283.2,283.65,273.92,284.09,284.98,281.87,270.41,,14,968,28,14.77,
30.01.19 18:10:47,2.55,268.65,271.72,275.24,270.41,276.12,277,277,275.24,281.87,282.31,281.87,275.68,276.12,277.45,278.77,270.41,280.1,282.76,282.76,273.48,282.76,285.42,279.66,272.16,,14,968,28,14.79,
30.01.19 18:11:02,2.8,267.78,270.41,274.8,269.97,277,277,275.68,274.36,280.98,281.43,280.98,275.24,273.92,277.45,277,271.72,279.21,281.87,283.2,272.6,282.31,285.42,279.66,270.41,,14,968,28,14.82,
30.01.19 18:11:17,3.05,266.9,269.53,273.48,268.65,275.68,276.12,276.12,273.48,280.54,280.98,278.77,274.36,273.04,277,277.89,269.53,277.89,281.43,281.43,270.84,281.43,282.31,278.77,269.53,,14,968,28,14.84,
30.01.19 18:11:32,3.3,266.47,269.53,274.36,268.22,276.12,274.8,274.8,272.16,280.1,279.66,279.21,273.92,272.6,275.68,277,269.97,277.89,281.43,281.43,270.41,280.1,281.87,277.45,269.09,,14,968,28,14.86,
30.01.19 18:11:47,3.55,266.03,268.65,273.04,267.78,274.36,274.8,274.36,273.04,280.54,279.66,279.21,273.48,272.16,275.68,277,269.09,279.66,279.21,280.54,269.09,283.2,284.09,279.21,269.97,,14,968,28,14.88,
30.01.19 18:12:02,3.8,266.03,268.65,272.6,267.34,274.36,273.92,273.92,273.04,279.21,279.66,278.77,273.48,270.41,274.8,276.56,269.53,277.45,279.66,281.43,269.09,280.98,283.2,277.89,268.65,,14,968,28,14.91,
30.01.19 18:12:17,4.05,266.47,269.09,272.6,267.34,274.36,273.92,273.92,271.72,279.66,278.33,277.89,274.36,272.6,274.36,275.24,268.65,277,279.66,280.54,270.41,281.87,283.2,276.56,269.53,,14,968,28,14.93,
30.01.19 18:12:32,4.3,265.59,269.09,272.16,267.34,273.04,273.04,274.36,272.16,278.77,278.33,278.77,273.04,269.97,274.36,274.36,268.65,277,278.77,280.54,269.97,280.1,281.87,277,270.41,,14,968,28,14.95,
30.01.19 18:12:47,4.55,265.59,268.22,272.16,266.9,273.04,273.48,273.92,271.72,278.33,278.33,277.45,273.48,270.84,274.8,274.8,267.78,275.68,279.21,279.21,269.53,279.21,281.87,277,268.22,,14,968,28,14.95,
30.01.19 18:13:02,4.8,265.16,267.78,271.72,266.47,272.6,273.04,273.48,270.84,277,277.45,277.45,273.04,270.84,273.92,274.36,268.22,275.68,278.33,279.21,268.65,278.77,281.87,276.56,267.34,,14,968,28,15,
30.01.19 18:13:17,5.05,265.16,267.78,271.72,266.9,273.48,272.6,274.36,271.28,278.77,277.89,276.56,273.04,271.28,273.92,275.68,267.34,275.24,277.45,278.77,269.53,279.66,284.09,276.56,267.78,,14,968,28,14.97,
30.01.19 18:13:32,5.3,264.29,266.9,271.28,266.03,273.04,272.16,273.04,270.84,277.89,276.56,276.12,272.6,269.97,272.16,273.48,267.78,273.92,277.45,277,269.53,279.21,281.43,276.56,268.65,,14,968,28,15,
30.01.19 18:13:47,5.55,265.16,268.22,271.72,266.47,272.16,273.04,273.04,271.28,278.77,277.45,275.68,273.04,269.97,272.6,275.24,267.34,274.8,277,279.21,267.78,279.66,280.98,275.24,267.34,,14,968,28,15,
30.01.19 18:14:02,5.8,264.72,266.9,270.84,265.59,271.72,272.16,273.04,270.84,276.12,276.56,276.56,271.72,269.53,273.48,273.48,266.9,275.24,278.77,277.89,267.34,279.21,281.87,275.24,264.72,,14,968,28,15.02,
30.01.19 18:14:17,6.05,263.85,267.34,270.84,266.03,272.6,272.16,271.72,269.53,277,275.68,275.24,271.72,269.97,273.04,273.92,266.9,275.24,277.89,278.33,266.9,277.45,281.43,278.33,265.59,,14,968,28,15.02,
30.01.19 18:14:32,6.3,263.85,267.34,270.84,265.16,272.16,272.16,272.16,269.53,277.45,276.12,274.8,270.84,268.65,273.04,273.48,266.9,276.56,276.56,277,266.9,278.77,280.98,277,267.78,,14,968,28,15.06,
30.01.19 18:14:47,6.55,263.41,267.34,270.84,265.59,271.72,271.28,272.16,269.53,277.45,275.68,274.8,271.72,268.65,272.6,273.04,267.34,274.8,277.45,276.12,266.9,277,281.87,277,265.59,,14,968,28,15.06,
30.01.19 18:15:02,6.8,263.85,266.03,270.84,264.72,271.72,271.28,272.16,269.97,276.12,275.24,276.12,271.28,267.78,270.84,272.6,265.59,275.24,276.56,277,267.34,275.68,280.54,274.8,266.9,,14,968,28,15.06,
30.01.19 18:15:17,7.05,264.29,266.9,270.84,265.59,271.72,271.28,271.72,269.53,277,275.68,275.24,271.28,269.53,271.72,273.92,266.9,274.8,276.56,276.12,266.9,276.56,282.76,277,267.34,,14,968,28,15.06,
30.01.19 18:15:32,7.3,262.98,267.34,269.97,265.16,270.84,271.28,272.16,269.97,276.12,275.24,274.36,271.28,269.09,270.41,273.92,264.72,274.36,276.56,276.12,266.03,277.89,280.54,274.8,264.29,,14,968,28,15.07,
30.01.19 18:15:47,7.55,263.41,266.47,269.53,265.16,271.28,270.41,270.84,268.65,277.45,275.24,274.36,270.41,267.78,271.28,272.6,266.03,276.12,276.12,276.56,266.9,278.77,279.66,276.12,264.72,,14,968,28,15.09,
30.01.19 18:16:02,7.8,263.85,266.47,269.09,264.29,270.84,270.41,271.28,268.65,276.56,274.8,274.36,270.41,267.34,270.84,272.6,265.59,273.04,275.68,275.68,266.03,278.33,281.87,274.36,265.16,,14,968,28,15.09,
30.01.19 18:16:17,8.05,262.98,266.03,269.53,264.29,270.41,270.84,270.41,268.65,276.12,274.36,273.48,269.53,268.22,270.41,273.04,265.59,274.36,276.12,276.56,266.9,278.33,280.54,274.8,266.47,,14,968,28,15.09,
30.01.19 18:16:32,8.3,262.54,266.03,269.97,264.29,269.97,270.41,271.72,268.65,277.45,274.36,273.92,270.84,267.78,270.84,273.48,265.59,274.36,275.68,275.24,265.16,275.24,279.66,273.04,265.59,,14,968,28,15.09,
30.01.19 18:16:47,8.55,262.98,265.59,269.53,264.72,270.84,270.41,271.28,269.09,276.12,275.24,273.48,270.84,267.78,270.84,271.72,265.59,273.92,276.56,275.68,266.03,275.24,280.98,274.8,265.59,,14,968,28,15.09,
30.01.19 18:17:02,8.8,263.41,265.59,269.09,264.29,269.97,269.53,270.84,269.09,277,274.8,273.48,270.84,267.78,271.72,272.16,265.16,273.92,276.12,275.68,265.59,277.89,280.1,275.68,265.16,,14,968,28,15.11,
30.01.19 18:17:17,9.05,262.98,266.47,269.53,264.29,271.28,270.84,270.84,268.65,275.68,274.36,273.92,269.97,266.47,270.41,272.6,265.16,275.24,275.24,275.24,265.59,275.24,280.98,273.92,266.47,,14,968,28,15.11,
30.01.19 18:17:32,9.3,262.98,266.47,269.97,264.29,270.84,270.41,271.28,269.53,275.68,275.68,274.36,270.84,267.34,271.72,272.6,265.16,273.48,276.12,273.92,266.03,276.12,280.98,272.6,265.16,,14,968,28,15.11,
30.01.19 18:17:47,9.55,262.54,265.59,269.53,264.29,270.41,269.53,270.41,269.09,275.68,274.8,273.48,269.97,266.9,270.41,272.6,265.16,273.92,275.24,273.92,266.9,276.56,280.98,274.36,264.29,,14,968,28,15.13,
30.01.19 18:18:02,9.8,262.54,266.47,268.65,263.85,271.28,269.53,271.28,267.78,275.68,274.8,273.04,269.53,267.34,269.97,272.6,264.72,274.36,274.36,273.92,263.85,276.56,278.77,273.92,264.29,,14,968,28,15.14,
30.01.19 18:18:17,10.05,262.98,266.03,268.65,263.41,270.41,269.53,270.84,268.22,274.8,273.04,273.48,269.97,267.34,269.97,272.16,264.72,272.16,275.68,274.36,265.16,277.89,279.66,275.68,264.72,,14,968,28,15.14,
30.01.19 18:18:32,10.3,262.98,266.03,269.53,264.29,270.41,269.97,270.84,267.78,274.8,273.48,273.04,269.53,265.59,269.53,272.16,264.29,274.36,274.8,274.8,264.29,277.45,279.21,275.24,264.29,,14,968,28,15.14,
30.01.19 18:18:48,10.57,262.54,266.03,269.09,263.41,269.53,269.97,270.41,268.65,275.68,274.8,272.6,269.97,266.03,269.97,272.16,263.85,273.04,274.8,274.36,266.03,277.89,279.66,274.36,266.47,,14,968,28,15.15,
30.01.19 18:19:03,10.82,262.54,265.59,269.09,264.29,269.53,269.53,271.28,268.22,275.68,273.92,273.04,269.97,268.65,269.97,271.72,264.72,272.6,274.8,273.92,266.47,273.92,280.54,273.92,266.03,,14,968,28,15.18,
30.01.19 18:19:18,11.07,262.98,265.59,268.65,263.41,269.53,269.09,270.84,267.34,275.68,273.92,273.04,268.65,266.47,270.41,272.16,264.72,272.6,274.8,272.16,266.03,276.56,279.21,273.92,264.29,,14,968,28,15.15,
