sample,mass,salinity,Sample.ID,Type, Notes
20190128_JUNK,59.538,28,JUNK,JUNK,
20190128_CRM1,59.0974,33.782,CRM1,CRM,Bottle #178-1157
20190128_CRM2,59.1136,33.782,CRM2,CRM,Bottle #178-1157
