Date,ZeroPoint,Slope,pH4,pH7,pH10,temp,status,notes,initials
20190121,6.928,-59.01,164.3,-7,-179.4,14.2,pass,2nd zeropt and slope, SJG
20190125,6.925,-56.71,166.54,-6.1,-179.2,17.9,pass,2nd zeropt and slope,SJG
20190128,6.922,-56.76,166.7,-6,-179,18.7,pass,2nd zeropt and slope,SJG
20190201,6.933,-56.15,164.6,-6.6,-179.1,14.6,pass,2nd zeropt and slope,SJG
20190203,6.934,-56.28,165.5,-6.2,-178.7,158,pass,2nd zeropt and slope,SJG
20190205,6.938,-55.74,164.6,-6.5,-178.3,13.8,pass,2nd zeropt and slope,SJG
