sample,mass,salinity,Sample.ID,Type, Notes
20190223_JUNK,59.4898,28,JUNK,JUNK,
20190223_CRM1,59.1399,33.782,CRM1,CRM,Bottle #178-0486
20190223_CRM2,59.1568,33.782,CRM2,CRM,Bottle #178-0486
