sample,mass,salinity,Sample.ID,Type, Notes
20190221_T5,59.6665,28.26,T5,conical,
20190221_T7,59.8396,28.26,T7,conical,
20190221_T1,59.0976,28.28,T1,conical,
20190221_T0,60.3831,28.32,T0,conical,
20190221_T3,60.5637,28.26,T3,conical,
20190221_T2,60.1976,28.28,T2,conical,
