sample,mass,salinity,Sample.ID,Type, Notes
20190223_T6,60.1798,28.89,T6,conical,
20190223_T1,60.6054,28.86,T1,conical,
20190223_T4,59.6953,28.88,T4,conical,
20190223_T3,59.2132,28.88,T3,conical,
20190223_T0,60.6936,28.84,T0,conical,
20190223_T2,60.1253,28.87,T2,conical,
20190223_T5,59.6194,28.89,T5,conical,
20190223_T7,60.2209,28.89,T7,conical,
20190221_T6,59.7919,28.25,T6,conical,
