sample,mass,salinity,Sample.ID,Type, Notes
20190222_T2,59.089,28.49,T2,conical,
20190222_T6,59.7562,28.5,T6,conical,
20190222_T1,59.5732,28.5,T1,conical,
20190222_T3,59.2183,28.49,T3,conical,
20190222_T5,60.878,28.52,T5,conical,
20190222_T7,59.596,28.58,T7,conical,
20190222_T0,60.5262,28.47,T0,conical,
20190222_T4,60.7273,28.51,T4,conical,
20190221_T4,60.0035,28.26,T4,conical,
