sample,mass,salinity,Sample.ID,Type, Notes
201900331_JUNK,59.5379,28,JUNK,JUNK,
201900331_CRM1,59.1345,33.782,CRM1,CRM,Bottle #178-0486
201900331_CRM2,59.0634,33.782,CRM2,CRM,Bottle #178-0486
