Measurement Name :,20190125_resp_larvae,,Generated On :,"25/01/2019, 02:05:05",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"25/01/2019, 01:42:04",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"25/01/2019, 02:04:46",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
25.01.19 01:42:07,0.05,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,322.45,No Sensor,No Sensor,336.83,No Sensor,No Sensor,No Sensor,316.02,No Sensor,No Sensor,No Sensor,No Sensor,323.83,No Sensor,,14,968,28.5,13.19,
25.01.19 01:42:22,0.3,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,309.18,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,317.85,No Sensor,No Sensor,No Sensor,No Sensor,322.91,No Sensor,,14,968,28.5,13.23,
25.01.19 01:42:37,0.55,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,305.1,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,317.85,No Sensor,No Sensor,No Sensor,No Sensor,306.91,No Sensor,,14,968,28.5,13.27,
25.01.19 01:43:15,1.18,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,328.92,341.04,No Sensor,No Sensor,277.85,277.85,280.94,275.21,272.14,269.51,269.95,266.02,,14,968,28.5,13.3,
