"Date","RUN","SDR_position","Lpc","Leq","Lz","alpha"
"20190116","1","A1",-5.72298280542987,-5.72298280542987,-5.72298280542987,0.4
"20190116","1","B1",-2.59780575149214,-2.86092265943012,-2.39581118881118,0.4
"20190116","1","C1",-0.685442543282367,-0.689299357709581,-0.689299357709581,0.4
"20190116","1","D1",-2.18825699300699,-2.20481182795698,-2.20481182795698,0.4
"20190116","1","A2",-1.44023676587885,-1.51368667153741,-1.62761332099907,0.4
"20190116","1","B2",-1.58697367868687,-1.77415311004786,-1.77415311004786,0.4
"20190116","1","C2",-1.97945454545455,-1.64981988742965,-1.64981988742965,0.4
"20190116","1","D2",-2.47206190616123,-2.47927923256417,-2.47258367346939,0.4
"20190116","1","A3",-4.73829643527206,-5.02841114982579,-5.02841114982579,0.4
"20190116","1","B3",-0.954220633299283,-0.942196569209189,-0.862071146245061,0.4
"20190116","1","C3",-1.68553571428571,-1.71068852459017,-1.71068852459017,0.4
"20190116","1","D3",-1.85174614858825,-1.86027294729618,-1.86027294729618,0.4
"20190116","1","A4",-2.63026929841704,-2.74260483641536,-2.97560240096038,0.4
"20190116","1","B4",-2.35336364309515,-2.50693109243698,-2.50693109243698,0.4
"20190116","1","C4",-0.748908050883628,-0.727804878048797,-0.727804878048797,0.4
"20190116","1","D4",-2.75270478944292,-2.75270478944292,-2.75270478944292,0.4
"20190116","1","A5",-2.55337489818586,-2.36674914199058,-2.55033967582804,0.4
"20190116","1","B5",-3.26823410025369,-3.36182395382395,-3.36182395382395,0.4
"20190116","1","C5",-1.14908770630119,-1.25956002115282,-1.25956002115282,0.4
"20190116","1","D5",-1.35835205992509,-1.35835205992509,-1.27431878042939,0.4
"20190116","1","A6",-2.72085348506401,-2.30472605042017,-2.30472605042017,0.4
"20190116","1","B6",-1.75094070486475,-1.77465934065934,-1.82565429864253,0.4
"20190116","1","C6",-2.09893544137023,-3.90949143610013,-3.90949143610013,0.4
"20190116","1","D6",-3.27325812725756,-3.35559474671671,-3.35559474671671,0.4
"20190116","2","A1",-4.12666049953746,-4.10628194993413,-6.48052713178294,0.4
"20190116","2","B1",-2.74039870402135,-2.74039870402135,-2.74039870402135,0.4
"20190116","2","C1",-2.20925358851674,-2.39607396870555,-3.03949549549549,0.4
"20190116","2","D1",-3.35263309122836,-3.06930206378988,-3.06930206378988,0.4
"20190116","2","A2",-2.66458700209643,-2.66458700209643,-2.04866202090592,0.4
"20190116","2","B2",-1.80250661025912,-2.57485198889918,-2.57485198889918,0.4
"20190116","2","C2",-3.65380849141824,-3.68122597280825,-2.19705019305019,0.4
"20190116","2","D2",-3.42025592318129,-3.42025592318129,-4.47518677578802,0.4
"20190116","2","A3",-4.35137115516063,-6.57783673469388,-6.96413812544045,0.4
"20190116","2","B3",-3.4684709366901,-3.47294053315105,-3.54742857142858,0.4
"20190116","2","C3",-2.57592688618097,-2.43571833724982,-2.23098954703833,0.4
"20190116","2","D3",-3.54944537815126,-3.50287773487773,-3.50287773487773,0.4
"20190116","2","A4",-2.65199814986125,-2.71810933252794,-7.1484048582996,0.4
"20190116","2","B4",-1.55497167031804,-1.18247654784241,-1.13713313345758,0.4
"20190116","2","C4",-2.72736017728086,-2.27422693949009,-2.27422693949009,0.4
"20190116","2","D4",-3.12777347460724,-2.20498686679176,-2.20498686679176,0.4
"20190116","2","A5",-2.49073527730132,-2.2797148217636,-2.2797148217636,0.4
"20190116","2","B5",-3.80209491137793,-4.35319400372032,-4.35319400372032,0.4
"20190116","2","C5",-7.71923452157599,-7.75982930298721,-7.52379034905351,0.4
"20190116","2","D5",-3.04486586493987,-3.23045993361783,-3.23045993361783,0.4
"20190116","2","A6",-3.39598123900722,-3.54323701187158,-3.69758916083916,0.4
"20190116","2","B6",-3.15285714285714,-2.49369369369369,-2.49369369369369,0.4
"20190116","2","C6",-3.10635256410257,-2.97396761133604,-2.97396761133604,0.4
"20190116","2","D6",-2.82294291754756,-2.62258536585366,-2.62258536585366,0.4
"20190124","1","A1",-0.297492668621681,-0.365026086956513,-4.00078530979349,0.4
