Measurement Name :,20190410_resp_1_T1,,Generated On :,"10/04/2019, 14:58:34",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"10/04/2019, 14:19:59",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"10/04/2019, 14:58:25",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
10.04.19 14:20:01,0.03,303.3,302.38,305.14,300.08,312.55,310.23,311.16,313.48,318.15,317.21,317.68,313.02,315.81,320.02,318.62,297.78,309.3,320.96,320.96,298.24,303.76,309.3,311.62,291.84,,13,968,29,16.18,
10.04.19 14:20:16,0.28,299.62,299.16,302.38,296.87,309.77,307.92,308.84,310.7,314.88,314.42,314.88,310.23,313.48,318.15,316.28,295.04,306.07,319.08,318.15,295.04,300.54,306.53,308.84,289.57,,13,968,29,16.32,
10.04.19 14:20:31,0.53,296.87,296.87,300.54,294.58,306.99,305.6,306.99,308.84,312.55,312.55,313.48,307.45,310.23,316.28,313.95,292.75,304.22,316.28,316.28,293.21,298.24,303.76,306.99,287.3,,13,968,29,16.43,
