Measurement Name :,20190223_resp_run1,,Generated On :,"22/02/2019, 17:03:09",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"22/02/2019, 16:08:05",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"22/02/2019, 17:03:01",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
22.02.19 16:08:07,0.03,335.96,343.97,343.47,340.46,339.46,337.46,335.96,330.49,338.46,330.49,337.96,334.47,343.47,331.48,331.98,326.52,337.46,338.46,341.46,327.02,339.96,335.96,332.97,328.01,,11,968,28,17.04,
22.02.19 16:08:22,0.28,335.46,342.97,342.47,340.46,339.46,336.46,334.97,329.99,339.96,331.48,338.46,332.97,342.97,332.48,332.97,325.53,337.96,337.96,339.96,326.52,336.96,336.96,332.97,329,,11,968,28,17,
22.02.19 16:08:37,0.53,333.97,341.46,342.97,339.46,339.46,337.46,333.97,329.99,338.96,330.98,337.46,334.47,341.97,332.48,331.48,325.04,337.46,337.46,341.46,326.52,338.96,336.46,332.97,327.51,,11,968,28,16.97,
22.02.19 16:08:52,0.78,332.48,340.46,340.46,338.46,337.96,335.96,334.47,329,337.96,330.98,336.46,332.48,341.97,331.48,331.48,324.55,336.46,335.96,341.46,325.53,337.46,336.46,330.98,328.5,,11,968,28,16.95,
22.02.19 16:09:07,1.03,332.97,340.46,340.96,337.46,337.96,336.46,332.48,329.5,337.96,330.49,336.46,331.98,341.97,331.98,333.47,323.56,336.96,335.46,340.96,325.04,338.96,335.46,330.98,327.02,,11,968,28,16.91,
22.02.19 16:09:23,1.3,330.98,338.96,339.96,337.46,336.46,335.96,332.48,329.5,336.46,329.99,336.96,331.48,341.46,331.98,331.48,322.57,336.46,334.97,339.96,325.53,335.96,336.46,330.49,326.52,,11,968,28,16.89,
22.02.19 16:09:38,1.55,330.49,338.46,339.46,335.96,335.96,335.46,331.48,327.02,335.96,329.99,335.46,330.98,338.46,330.98,331.48,323.06,334.47,334.97,339.46,323.56,334.47,334.97,329.5,324.05,,11,968,28,16.86,
22.02.19 16:09:53,1.8,329.5,339.46,339.46,335.96,335.96,335.96,332.48,328.5,335.96,329.99,335.96,331.98,339.96,330.49,331.48,322.08,334.97,334.97,338.96,325.04,335.46,334.97,329.99,324.05,,11,968,28,16.82,
22.02.19 16:10:08,2.05,329,337.46,338.46,334.97,335.46,333.47,331.98,328.01,335.46,329.5,333.97,330.49,338.96,329.99,331.48,322.08,334.47,333.47,338.46,323.06,335.96,334.97,329.5,325.53,,11,968,28,16.81,
22.02.19 16:10:23,2.3,328.5,336.96,338.46,334.47,335.46,333.47,330.49,326.03,334.47,329.5,334.97,329.99,338.96,330.49,331.98,320.6,334.47,333.47,338.46,321.59,333.97,333.97,329,324.05,,11,968,28,16.79,
22.02.19 16:10:38,2.55,328.01,336.46,338.46,334.47,332.97,332.48,329.5,325.53,332.97,329,334.47,329.5,337.46,330.49,331.48,319.62,332.97,334.47,338.46,322.57,334.97,332.97,328.01,324.05,,11,968,28,16.77,
22.02.19 16:10:53,2.8,327.51,334.47,336.96,333.97,332.48,332.48,329.99,326.52,332.97,328.01,332.97,329.5,336.96,329.5,331.48,320.11,331.98,332.48,336.96,321.09,334.47,332.97,328.5,324.05,,11,968,28,16.73,
22.02.19 16:11:08,3.05,326.52,334.47,336.46,332.97,333.47,332.97,329.99,327.02,332.97,329.5,333.97,329.5,336.96,329,331.48,320.11,332.97,332.97,337.46,320.6,335.46,333.47,328.5,323.06,,11,968,28,16.68,
