Measurement Name :,20190329_resp_1_T1,,Generated On :,"29/03/2019, 15:54:03",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"29/03/2019, 15:22:11",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"29/03/2019, 15:53:53",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
29.03.19 15:22:13,0.03,295.38,299.13,301.47,299.13,299.13,298.19,302.89,293.98,299.13,299.13,296.78,293.04,293.04,295.85,297.72,282.36,291.18,294.91,296.31,282.82,289.78,293.98,290.71,280.05,,12,968,29,13.52,
29.03.19 15:22:28,0.28,293.04,297.25,298.19,296.31,296.78,297.25,301,291.64,296.78,297.72,295.38,290.71,290.71,293.98,296.78,280.51,288.38,293.04,294.44,280.98,286.99,292.11,288.38,277.29,,12,968,29,13.65,
29.03.19 15:22:43,0.53,291.64,294.91,297.25,294.91,294.91,294.91,299.6,291.18,294.91,295.85,293.98,289.31,289.31,292.11,294.91,279.59,286.53,291.18,293.51,279.13,285.14,289.31,286.06,275.91,,12,968,29,13.73,
29.03.19 15:22:58,0.78,289.31,294.91,296.78,293.51,294.44,294.44,298.66,290.24,293.98,294.91,293.04,288.85,287.46,291.64,293.98,278.67,285.6,291.18,292.11,278.21,283.75,288.38,285.6,274.53,,12,968,29,13.81,
29.03.19 15:23:13,1.03,287.46,292.57,295.38,293.04,292.11,293.04,298.66,288.85,292.57,293.51,292.57,288.38,286.53,290.24,293.51,277.29,284.21,289.78,291.64,277.29,282.36,287.92,284.21,273.62,,12,968,29,13.86,
29.03.19 15:23:29,1.3,286.99,291.18,294.44,291.64,291.64,293.04,296.78,288.38,291.64,293.04,291.64,286.53,285.14,289.78,292.57,276.83,283.29,288.38,289.78,276.37,281.44,286.53,282.82,272.24,,12,968,29,13.9,
29.03.19 15:23:44,1.55,285.14,291.18,293.51,290.71,291.18,291.18,295.38,286.99,290.24,291.64,290.71,286.06,283.75,288.85,291.64,275.91,281.44,287.92,289.31,274.99,280.05,285.6,282.36,271.33,,12,968,29,13.95,
29.03.19 15:23:59,1.8,285.14,289.78,293.04,289.78,290.24,290.24,294.91,287.92,289.78,291.64,289.78,285.6,283.29,287.92,291.18,275.91,280.98,287.46,288.38,274.99,279.59,285.14,281.9,270.87,,12,968,29,13.97,
29.03.19 15:24:14,2.05,283.29,289.78,292.57,289.31,287.46,289.78,294.91,286.53,288.85,290.24,289.78,285.14,282.82,287.46,290.24,274.53,280.05,286.06,287.92,274.08,278.21,283.75,280.51,270.41,,12,968,29,14.02,
29.03.19 15:24:29,2.3,282.36,288.85,292.11,288.38,288.38,289.78,293.98,286.53,288.38,289.78,288.38,284.21,281.9,286.99,289.78,274.08,280.05,285.6,286.99,273.16,277.75,283.75,280.05,269.5,,12,968,29,14.04,
29.03.19 15:24:44,2.55,283.29,288.85,292.57,288.85,287.46,289.31,293.98,286.53,287.92,289.31,287.92,284.21,281.44,286.53,289.31,274.08,279.59,285.6,286.53,273.62,277.75,283.29,279.59,269.96,,12,968,29,14.06,
29.03.19 15:24:59,2.8,280.98,287.92,291.18,287.46,286.06,288.38,293.04,285.6,286.53,288.85,287.46,283.75,280.51,285.6,287.92,273.16,278.67,284.67,285.6,272.7,276.37,281.9,279.13,269.04,,12,968,29,14.09,
29.03.19 15:25:14,3.05,280.98,286.53,290.71,286.99,285.6,287.46,292.57,284.67,286.06,287.46,286.53,283.29,279.13,285.14,287.46,272.24,277.75,283.75,285.14,271.79,275.91,281.9,278.21,268.13,,12,968,29,14.11,
29.03.19 15:25:29,3.3,281.44,287.46,290.24,286.99,285.6,287.92,292.11,284.67,285.6,287.92,286.06,282.82,279.59,284.67,287.92,272.7,277.75,283.75,285.14,272.24,275.45,281.44,277.75,268.59,,12,968,29,14.14,
29.03.19 15:25:44,3.55,280.51,286.99,291.18,286.53,285.14,287.46,292.11,285.14,284.67,286.99,286.06,282.36,279.13,284.21,286.99,272.7,276.83,283.29,283.75,271.33,275.45,281.44,277.75,268.59,,12,968,29,14.16,
29.03.19 15:25:59,3.8,280.05,285.14,290.24,286.99,284.21,286.99,291.64,284.21,285.14,286.99,285.6,282.36,278.67,284.21,286.99,272.24,276.83,282.82,283.75,271.33,275.45,280.51,277.75,267.68,,12,968,29,14.18,
29.03.19 15:26:14,4.05,279.59,286.53,290.71,286.53,284.21,286.53,291.18,284.67,284.67,286.53,285.14,281.44,278.21,283.75,286.53,272.24,276.37,283.29,283.29,270.87,274.99,280.51,277.29,268.13,,12,968,29,14.2,
29.03.19 15:26:29,4.3,280.05,285.6,289.78,286.06,284.21,286.06,291.18,284.67,284.67,286.06,285.14,281.9,278.21,283.75,286.53,271.79,276.37,282.36,283.29,270.87,274.53,280.51,276.83,267.68,,12,968,29,14.2,
29.03.19 15:26:44,4.55,279.59,285.6,290.71,286.53,283.75,286.06,290.71,283.29,284.21,285.6,284.21,281.9,278.21,283.29,285.6,271.79,275.45,281.9,282.82,270.41,274.53,280.05,276.83,267.22,,12,968,29,14.22,
29.03.19 15:26:59,4.8,278.67,285.6,288.38,285.6,283.29,285.6,290.71,283.75,283.75,285.6,284.21,281.44,276.83,282.82,286.06,270.87,275.45,281.9,281.9,269.96,274.08,279.59,276.37,267.22,,12,968,29,14.22,
29.03.19 15:27:14,5.05,279.13,285.6,289.31,286.06,283.29,286.06,290.71,284.21,283.75,285.6,284.67,281.9,276.83,282.82,285.6,271.79,275.45,281.9,282.82,269.96,274.08,279.59,276.37,267.22,,12,968,29,14.23,
29.03.19 15:27:29,5.3,278.67,285.6,290.24,286.53,283.29,285.14,290.71,284.21,282.82,285.14,284.21,280.98,277.29,282.82,285.6,271.33,274.99,281.44,282.36,269.5,273.62,279.59,276.37,267.22,,12,968,29,14.23,
29.03.19 15:27:44,5.55,278.67,284.21,289.78,286.06,282.36,285.14,289.78,283.29,282.82,284.21,283.75,280.98,276.37,281.9,284.21,270.41,274.53,280.98,280.98,269.5,273.62,278.67,275.45,266.31,,12,968,29,14.25,
29.03.19 15:27:59,5.8,278.21,284.67,288.38,285.6,282.36,284.67,290.24,283.75,282.82,284.67,283.29,280.98,275.91,282.36,285.14,270.87,274.99,280.98,281.9,269.5,273.16,279.13,275.91,266.31,,12,968,29,14.27,
29.03.19 15:28:14,6.05,278.21,284.21,289.31,286.06,282.36,285.6,289.78,284.21,282.82,284.21,283.75,280.51,276.37,281.44,284.67,270.41,274.53,280.98,280.98,269.5,273.16,278.67,275.45,266.77,,12,968,29,14.27,
29.03.19 15:28:29,6.3,278.67,285.14,289.31,284.67,282.36,284.67,289.31,282.82,281.9,284.21,283.29,280.98,275.91,281.44,284.67,269.96,274.53,280.98,280.51,269.04,273.16,278.67,275.45,266.31,,12,968,29,14.29,
29.03.19 15:28:44,6.55,277.75,284.67,289.31,285.14,281.44,284.21,289.78,283.75,281.9,283.75,282.82,280.51,274.99,281.9,284.21,269.96,274.53,280.51,280.51,269.04,273.16,278.21,274.99,266.31,,12,968,29,14.29,
29.03.19 15:28:59,6.8,278.67,284.21,289.31,286.06,282.36,284.21,289.78,283.75,281.9,283.75,282.82,280.05,275.45,281.9,284.67,270.41,274.53,280.51,280.98,269.5,273.16,278.67,275.45,266.31,,12,968,29,14.29,
29.03.19 15:29:14,7.05,277.75,284.67,288.38,285.14,281.9,284.21,289.78,283.75,281.44,283.29,282.36,280.51,275.45,281.44,284.21,270.87,273.62,280.05,280.51,268.59,273.16,278.21,274.99,266.31,,12,968,29,14.31,
29.03.19 15:29:29,7.3,277.29,282.82,288.38,285.14,280.98,283.75,288.85,283.75,280.51,283.29,281.9,280.05,274.99,280.98,283.75,269.5,273.62,279.59,279.59,268.59,272.7,277.75,274.53,265.4,,12,968,29,14.31,
29.03.19 15:29:44,7.55,277.75,283.29,288.38,285.6,280.98,284.21,288.85,283.29,280.98,283.29,281.9,280.05,274.53,280.98,283.75,270.41,274.08,280.05,280.05,268.59,272.7,278.21,274.99,266.31,,12,968,29,14.32,
29.03.19 15:29:59,7.8,277.75,283.29,288.38,285.6,280.98,283.29,288.85,283.29,280.98,282.82,281.44,279.59,274.53,280.51,283.29,269.96,273.62,279.59,279.59,268.13,272.24,277.29,274.53,265.85,,12,968,29,14.32,
29.03.19 15:30:14,8.05,277.29,282.82,288.38,285.14,280.51,283.29,288.85,282.82,280.98,282.82,281.9,279.59,274.53,280.51,283.29,269.96,273.16,279.59,279.13,268.13,272.24,277.29,274.08,265.85,,12,968,29,14.32,
