Measurement Name :,20190402_resp_2_T2,,Generated On :,"02/04/2019, 16:13:53",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"02/04/2019, 15:34:44",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"02/04/2019, 16:13:44",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
02.04.19 15:34:47,0.05,301.92,301,301.92,301.92,305.14,302.84,297.33,298.7,307.45,301.46,295.49,294.58,300.54,301,299.16,288.2,296.87,301.92,302.84,288.66,295.95,299.62,300.54,284.58,,13,968,29,14.31,
02.04.19 15:35:02,0.3,298.24,297.33,298.7,298.24,301.46,300.08,295.49,295.95,303.76,299.16,293.21,291.39,296.87,298.7,296.41,285.03,292.75,299.62,300.08,285.03,291.84,295.95,297.33,281.41,,13,968,29,14.59,
02.04.19 15:35:17,0.55,295.49,295.04,295.95,296.41,298.7,298.7,293.21,294.58,301.92,297.33,291.84,289.57,294.58,296.87,295.04,283.22,290.93,297.78,298.7,283.22,289.57,294.12,295.04,278.71,,13,968,29,14.77,
02.04.19 15:35:32,0.8,293.21,293.21,293.67,293.21,296.87,296.87,291.84,292.3,299.16,295.95,290.02,287.75,292.3,295.49,293.21,281.41,288.66,296.41,297.33,280.96,287.3,291.84,293.21,276.46,,13,968,29,14.9,
02.04.19 15:35:47,1.05,290.93,290.93,292.75,291.84,294.58,295.49,290.48,290.93,297.33,294.58,288.66,286.84,290.48,294.12,292.3,280.06,287.3,294.58,295.95,279.61,285.48,290.48,291.39,274.67,,13,968,29,15,
02.04.19 15:36:02,1.3,288.66,289.57,291.39,290.02,292.75,294.12,289.11,289.57,295.49,292.75,287.75,285.48,288.66,293.21,290.93,278.71,285.48,293.21,293.67,278.26,283.67,288.66,289.57,273.77,,13,968,29,15.07,
02.04.19 15:36:17,1.55,286.84,288.66,290.02,289.11,291.39,293.67,288.2,288.2,294.58,292.3,285.93,284.58,287.75,291.84,290.02,277.81,284.58,292.3,293.21,276.91,282.32,287.3,289.11,272.43,,13,968,29,15.14,
02.04.19 15:36:32,1.8,286.84,286.39,288.66,287.3,290.02,291.84,286.84,286.39,293.21,290.93,285.48,283.67,285.93,291.39,288.66,276.46,282.77,290.93,291.84,275.57,280.51,285.93,287.3,271.09,,13,968,29,15.2,
02.04.19 15:36:47,2.05,285.03,285.93,287.75,286.39,288.66,290.02,285.93,286.39,291.39,289.57,283.67,281.86,284.58,290.02,287.75,275.57,281.41,289.57,290.02,274.22,279.61,285.48,285.93,270.2,,13,968,29,15.23,
02.04.19 15:37:02,2.3,284.12,285.48,287.3,285.48,288.2,290.48,285.48,285.48,291.39,289.57,283.22,281.86,283.67,289.11,287.75,275.57,280.96,289.57,290.02,274.22,279.16,284.58,285.93,269.3,,13,968,29,15.27,
02.04.19 15:37:17,2.55,283.67,284.12,286.39,285.48,287.3,289.57,284.12,284.58,290.48,288.66,282.32,280.96,283.22,288.66,285.93,274.67,279.61,288.66,289.57,273.32,277.81,283.67,284.58,268.86,,13,968,29,15.31,
02.04.19 15:37:32,2.8,282.77,283.22,285.93,285.03,286.39,288.66,283.22,284.12,289.11,287.75,281.86,280.96,282.77,288.2,285.48,274.22,279.16,288.2,288.66,271.98,277.36,283.22,284.12,268.41,,13,968,29,15.34,
02.04.19 15:37:47,3.05,280.96,282.77,285.48,282.77,284.58,287.3,282.32,282.77,288.2,286.39,280.51,279.61,281.41,286.84,284.12,272.88,277.81,286.39,287.3,271.54,276.46,281.86,283.22,267.08,,13,968,29,15.38,
02.04.19 15:38:02,3.3,281.86,281.86,284.58,282.77,284.58,286.84,282.32,282.32,287.75,286.39,280.06,279.61,280.96,286.84,284.58,272.88,277.81,286.84,286.84,271.54,276.01,281.41,282.32,266.63,,13,968,29,15.39,
02.04.19 15:38:17,3.55,280.96,281.86,283.67,282.77,283.67,286.39,281.41,281.86,287.3,285.93,280.06,278.71,280.06,285.93,284.12,272.43,276.91,285.93,286.39,270.64,275.57,280.96,282.32,265.74,,13,968,29,15.41,
02.04.19 15:38:32,3.8,280.96,282.32,283.67,282.77,283.67,286.39,280.96,281.41,286.84,285.48,279.16,278.71,280.06,285.93,283.22,271.98,276.91,285.48,285.93,270.64,275.12,280.96,281.86,266.19,,13,968,29,15.43,
02.04.19 15:38:47,4.05,280.51,281.41,283.67,281.41,283.22,285.48,280.06,281.41,286.39,284.58,277.81,278.26,279.61,285.03,282.77,271.54,276.46,285.03,284.58,269.3,274.67,280.06,281.41,265.74,,13,968,29,15.45,
02.04.19 15:39:02,4.3,280.06,280.96,282.77,281.41,282.32,284.12,279.61,280.06,285.48,284.12,277.81,277.81,278.71,284.58,282.32,270.64,275.57,284.12,284.58,269.3,273.77,279.61,280.51,264.85,,13,968,29,15.47,
02.04.19 15:39:17,4.55,280.06,280.96,282.77,281.41,282.32,285.03,279.61,280.51,285.48,284.12,277.81,278.26,278.71,284.12,282.32,271.09,275.57,284.58,284.58,269.3,274.22,279.61,280.96,264.85,,13,968,29,15.47,
02.04.19 15:39:32,4.8,279.16,280.06,281.86,280.96,281.86,284.12,279.16,280.06,284.58,283.67,276.91,277.36,277.81,283.67,281.41,271.09,275.12,283.67,284.58,268.41,273.77,278.71,280.06,264.41,,13,968,29,15.5,
02.04.19 15:39:47,5.05,278.71,280.06,282.32,280.96,280.96,284.12,279.16,279.61,284.12,283.22,276.91,276.91,277.81,283.67,281.41,271.09,275.12,283.67,283.67,268.41,273.32,279.16,280.06,264.41,,13,968,29,15.52,
02.04.19 15:40:02,5.3,278.71,279.61,281.41,280.51,280.51,283.67,277.81,279.61,284.12,282.77,276.01,276.46,277.36,282.77,280.51,269.75,274.67,283.22,283.22,267.52,272.43,278.26,279.61,263.52,,13,968,29,15.54,
02.04.19 15:40:17,5.55,277.81,279.61,281.41,279.61,280.51,283.22,277.81,279.16,283.67,282.32,275.57,276.46,276.91,282.32,280.51,269.75,273.77,282.32,283.22,267.52,272.88,278.26,279.16,263.52,,13,968,29,15.54,
02.04.19 15:40:32,5.8,277.81,278.71,281.41,280.06,280.06,282.77,276.91,278.71,283.67,281.86,275.12,275.57,276.01,281.86,280.06,269.3,273.77,281.86,281.86,267.52,272.43,277.36,278.71,263.52,,13,968,29,15.56,
02.04.19 15:40:47,6.05,277.81,278.71,280.96,279.61,279.61,282.77,277.36,278.71,283.22,281.86,275.12,276.46,276.01,281.86,280.51,269.75,273.77,282.32,282.32,267.08,271.98,277.36,278.71,263.52,,13,968,29,15.57,
02.04.19 15:41:02,6.3,277.81,279.16,281.86,279.16,280.51,282.77,277.36,278.71,282.77,281.41,275.12,276.46,276.01,282.32,279.61,269.75,273.77,281.86,282.32,267.08,272.43,277.81,278.71,263.52,,13,968,29,15.57,
02.04.19 15:41:17,6.55,277.81,278.71,280.96,280.06,279.61,282.32,276.91,278.71,282.32,281.41,274.67,276.01,275.12,281.41,279.16,269.3,272.88,281.41,281.86,267.08,271.98,277.36,278.71,263.08,,13,968,29,15.57,
02.04.19 15:41:32,6.8,277.81,278.71,281.41,279.61,279.61,282.32,276.91,278.71,282.77,281.41,274.22,276.01,275.57,282.32,278.71,269.3,273.32,281.86,281.86,267.52,271.98,277.36,279.16,263.08,,13,968,29,15.57,
02.04.19 15:41:47,7.05,277.36,277.36,280.51,279.16,278.71,281.86,275.57,277.81,282.32,280.51,273.32,275.57,275.12,281.41,278.71,269.3,272.88,281.41,281.41,266.19,271.09,276.91,277.81,262.64,,13,968,29,15.57,
02.04.19 15:42:02,7.3,277.36,277.81,280.96,279.16,279.61,282.32,276.01,278.26,282.32,280.51,273.77,276.01,275.12,280.96,278.71,269.3,272.88,280.96,281.41,266.63,271.54,276.46,277.81,262.64,,13,968,29,15.59,
02.04.19 15:42:17,7.55,276.46,277.81,280.96,279.16,278.71,281.41,276.46,277.36,281.86,280.06,273.32,275.57,274.22,280.51,278.71,268.86,272.88,280.96,280.96,266.19,270.64,276.46,278.26,262.19,,13,968,29,15.59,
02.04.19 15:42:32,7.8,276.91,277.36,280.06,278.26,278.71,281.41,275.12,277.81,281.41,280.06,273.32,275.12,274.67,280.51,278.26,268.41,272.43,280.96,280.96,266.19,270.2,276.46,277.81,262.19,,13,968,29,15.59,
02.04.19 15:42:47,8.05,276.91,277.36,279.61,278.26,277.81,281.41,275.57,277.36,281.41,279.16,272.43,274.67,274.22,280.96,277.81,268.86,272.43,280.51,280.51,265.74,270.64,276.01,277.81,261.75,,13,968,29,15.61,
02.04.19 15:43:02,8.3,276.91,276.46,280.51,279.16,278.71,281.41,275.12,277.36,281.41,279.61,272.88,275.12,274.67,280.51,277.81,268.86,272.43,280.51,280.96,265.74,270.64,276.01,277.36,261.75,,13,968,29,15.61,
02.04.19 15:43:17,8.55,276.46,276.46,279.16,278.26,277.81,280.51,274.67,276.91,280.96,279.16,271.98,274.67,273.77,280.06,277.36,267.97,271.54,280.06,280.06,265.74,270.2,275.57,276.91,261.75,,13,968,29,15.61,
02.04.19 15:43:32,8.8,276.01,276.91,279.61,277.81,277.36,280.96,273.77,276.46,280.51,278.71,271.98,274.22,273.77,279.61,277.36,267.52,271.54,279.61,280.06,265.3,270.2,275.57,276.91,261.75,,13,968,29,15.61,
02.04.19 15:43:47,9.05,276.91,276.91,279.61,278.26,278.26,280.96,274.67,276.91,280.96,279.16,271.54,274.22,273.77,280.06,276.91,267.52,271.54,280.06,280.06,264.85,270.2,275.57,276.91,261.75,,13,968,29,15.61,
02.04.19 15:44:02,9.3,276.01,276.46,279.61,277.81,277.36,280.51,274.22,276.46,280.51,278.71,271.54,274.22,273.77,279.61,276.91,267.97,271.54,279.61,279.61,265.3,269.75,275.12,276.91,261.31,,13,968,29,15.61,
02.04.19 15:44:17,9.55,276.01,276.46,278.71,277.81,277.36,280.51,273.77,276.01,280.06,278.26,271.09,274.22,273.32,279.16,276.01,267.52,271.09,279.61,279.16,264.85,269.75,275.12,276.46,260.87,,13,968,29,15.61,
02.04.19 15:44:32,9.8,276.01,275.57,278.71,277.81,276.91,280.06,273.32,276.46,279.61,277.81,271.09,273.77,272.43,279.16,276.46,267.08,271.54,279.16,279.16,264.41,269.3,274.67,276.46,260.87,,13,968,29,15.61,
02.04.19 15:44:47,10.05,275.57,276.46,279.16,277.81,276.01,280.06,273.77,276.46,280.06,277.81,270.64,273.77,273.32,279.16,276.01,267.08,271.09,278.71,279.61,264.41,269.75,274.67,276.46,260.42,,13,968,29,15.61,
02.04.19 15:45:02,10.3,276.01,276.01,278.71,277.36,276.91,279.61,273.32,276.01,279.61,278.26,270.64,273.77,272.43,279.16,276.01,267.52,271.09,278.71,279.16,264.41,269.75,274.67,276.01,260.42,,13,968,29,15.61,
02.04.19 15:45:17,10.55,276.01,275.57,278.71,277.36,276.91,279.61,273.32,276.01,279.61,277.81,269.75,273.32,272.43,278.71,275.57,267.08,271.09,278.71,278.71,264.41,269.3,274.67,276.01,260.87,,13,968,29,15.61,
02.04.19 15:45:32,10.8,275.57,276.01,278.71,277.36,276.46,280.06,272.43,276.46,279.61,277.81,270.2,272.88,272.43,278.71,275.57,267.08,270.64,278.71,278.71,264.85,269.3,274.22,276.01,260.42,,13,968,29,15.61,
02.04.19 15:45:48,11.07,275.12,275.12,278.26,277.81,276.01,279.61,273.32,276.01,279.16,277.36,270.2,273.32,272.43,278.26,275.57,266.63,270.64,278.26,278.71,263.97,269.3,274.67,276.01,259.98,,13,968,29,15.61,
02.04.19 15:46:02,11.3,276.01,276.01,278.71,277.36,276.46,279.61,272.43,276.46,279.61,277.36,270.2,273.77,272.88,278.71,276.01,267.52,270.64,278.71,278.71,264.41,269.3,274.22,275.57,260.42,,13,968,29,15.61,
