Measurement Name :,20190402_resp_3_T3,,Generated On :,"02/04/2019, 18:00:55",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"02/04/2019, 17:29:45",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"02/04/2019, 18:00:47",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
02.04.19 17:29:47,0.03,300.54,297.78,299.62,295.49,304.68,297.78,305.14,300.08,307.45,302.38,305.14,301,306.53,301,303.3,290.48,301,301.92,306.53,287.75,297.78,301.46,301,289.11,,13,968,29,14.29,
02.04.19 17:30:03,0.3,295.49,293.67,295.95,291.84,301,295.49,302.84,297.33,302.84,299.62,302.38,297.33,302.38,298.24,300.54,287.3,296.41,298.7,303.76,284.58,292.75,297.33,297.33,285.03,,13,968,29,14.64,
02.04.19 17:30:18,0.55,292.75,291.84,294.12,290.02,298.7,293.67,301.46,295.95,300.54,298.24,301.46,296.41,299.62,297.78,299.62,285.48,294.12,297.78,301.92,282.77,290.48,295.49,295.04,282.77,,13,968,29,14.84,
02.04.19 17:30:33,0.8,289.11,289.11,291.39,287.75,295.95,290.93,299.62,293.67,297.78,295.95,299.16,292.3,296.87,295.04,297.78,282.77,290.93,295.04,299.62,280.06,286.84,291.84,291.84,280.06,,13,968,29,14.98,
02.04.19 17:30:48,1.05,286.84,287.3,289.57,285.03,293.67,290.02,298.24,291.39,296.41,294.58,297.78,291.39,293.67,293.21,296.41,280.96,288.66,293.21,298.24,278.71,284.58,290.02,290.48,277.36,,13,968,29,15.09,
02.04.19 17:31:03,1.3,284.58,285.48,287.75,283.67,291.39,288.2,296.41,290.02,293.67,293.21,296.41,290.02,292.3,291.84,294.58,278.71,286.84,291.84,296.41,276.91,283.22,288.2,287.75,275.57,,13,968,29,15.18,
