Measurement Name :,20190325_resp_1_T0,,Generated On :,"25/03/2019, 14:30:35",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"25/03/2019, 14:01:48",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"25/03/2019, 14:30:15",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
25.03.19 14:01:50,0.03,291.18,295.85,294.44,303.36,302.42,300.53,302.42,305.24,302.89,301,306.66,304.3,305.24,301.95,299.6,292.57,293.98,306.19,311.87,293.04,297.25,302.42,308.08,293.51,,12,968,29,13.56,
25.03.19 14:02:05,0.28,287.46,292.57,291.64,299.13,299.13,298.19,299.6,301.47,299.6,299.13,303.83,301,301.47,299.6,297.25,290.24,290.24,303.36,309.5,289.78,293.04,299.13,305.24,289.78,,12,968,29,13.77,
25.03.19 14:02:21,0.55,283.75,288.85,288.38,296.31,296.78,295.85,297.25,299.13,296.78,297.25,301.95,297.72,298.66,297.72,295.38,287.46,287.92,300.06,306.66,286.53,290.24,296.78,301.47,286.53,,12,968,29,13.93,
25.03.19 14:02:36,0.8,281.9,287.92,286.99,294.91,294.44,294.91,296.31,297.72,294.91,295.85,300.53,297.25,296.78,296.31,294.91,286.06,285.6,299.13,305.72,285.6,288.38,294.91,300.53,285.6,,12,968,29,14.02,
25.03.19 14:02:51,1.05,280.51,286.06,285.6,293.51,293.04,293.51,295.38,295.85,293.04,295.38,300.06,295.38,295.38,294.91,293.98,285.14,284.21,297.72,303.83,284.67,286.53,293.04,298.66,283.75,,12,968,29,14.11,
25.03.19 14:03:06,1.3,278.67,285.14,283.75,291.64,291.18,292.57,293.98,294.44,291.64,293.98,298.66,294.44,293.98,293.98,292.57,283.75,283.29,296.31,303.36,282.82,285.14,291.18,297.72,282.82,,12,968,29,14.15,
25.03.19 14:03:21,1.55,277.29,283.75,282.82,290.71,289.78,291.18,293.04,293.04,289.31,292.57,297.72,292.57,292.57,293.04,292.11,282.36,281.44,294.91,301.95,281.9,283.29,290.24,296.31,281.44,,12,968,29,14.2,
25.03.19 14:03:36,1.8,276.37,282.82,281.9,288.85,288.38,290.24,291.64,292.11,287.92,291.64,296.31,291.64,291.18,291.64,290.24,280.98,280.05,293.51,301,280.98,282.36,289.31,294.44,280.05,,12,968,29,14.25,
25.03.19 14:03:51,2.05,275.45,281.9,281.44,288.38,287.46,289.31,290.71,291.18,286.99,290.71,295.85,290.71,289.78,290.71,289.78,280.98,279.59,292.57,299.13,280.05,280.98,287.92,293.98,279.13,,12,968,29,14.29,
25.03.19 14:04:06,2.3,274.53,280.98,280.51,287.92,286.53,288.38,290.71,290.24,286.06,290.24,295.38,289.78,288.85,289.78,289.78,280.05,278.67,291.64,299.13,279.13,280.51,287.46,292.57,278.21,,12,968,29,14.32,
25.03.19 14:04:21,2.55,273.62,280.51,279.59,286.53,286.06,287.92,289.31,289.78,285.6,289.31,294.44,289.31,287.92,289.31,289.31,279.59,277.75,291.18,298.19,278.67,280.05,286.06,292.11,277.75,,12,968,29,14.34,
25.03.19 14:04:36,2.8,273.16,280.05,279.13,286.53,285.14,286.99,289.31,289.31,284.67,288.38,293.51,288.38,287.46,288.85,288.85,279.13,277.29,290.24,297.72,278.21,279.59,286.06,292.11,277.29,,12,968,29,14.38,
25.03.19 14:04:51,3.05,272.7,279.13,278.67,285.6,284.21,286.53,288.38,288.38,283.75,288.38,293.51,287.92,286.53,287.92,288.38,278.67,276.37,289.31,296.31,277.29,278.67,285.14,290.71,277.29,,12,968,29,14.39,
25.03.19 14:05:06,3.3,271.79,278.21,278.21,285.14,283.29,285.6,287.46,287.92,282.82,287.92,292.57,287.46,285.6,287.46,287.46,278.21,275.91,288.85,296.31,276.37,277.75,284.21,289.78,276.37,,12,968,29,14.41,
25.03.19 14:05:21,3.55,271.79,278.21,277.29,284.21,282.36,285.14,287.46,287.46,282.82,286.99,292.11,286.53,285.14,286.53,287.46,277.29,274.99,288.38,295.85,276.83,277.29,283.75,289.31,276.37,,12,968,29,14.41,
25.03.19 14:05:36,3.8,270.87,277.29,276.83,284.21,281.9,284.21,286.53,286.99,281.9,286.53,291.18,286.06,284.67,285.6,286.53,277.29,274.53,287.46,295.38,275.91,276.83,282.82,288.85,275.45,,12,968,29,14.45,
25.03.19 14:05:51,4.05,271.33,277.29,276.83,284.67,281.44,284.21,285.6,286.99,281.44,286.06,290.71,286.06,284.21,285.6,286.53,276.83,274.53,287.46,294.91,275.45,276.83,282.82,288.85,275.45,,12,968,29,14.45,
25.03.19 14:06:06,4.3,270.41,276.37,275.91,283.75,280.98,283.75,286.06,286.53,280.98,285.14,290.71,285.14,283.29,284.67,285.6,276.37,273.16,286.99,293.98,274.53,275.91,282.82,288.38,274.99,,12,968,29,14.48,
25.03.19 14:06:21,4.55,270.41,276.83,275.91,283.75,280.98,283.29,286.06,286.53,280.98,285.14,290.71,285.14,283.29,285.14,286.06,276.37,273.62,286.99,293.98,274.53,275.91,282.36,288.85,274.99,,12,968,29,14.5,
25.03.19 14:06:36,4.8,270.41,276.37,275.91,283.29,280.51,282.82,285.6,286.06,279.59,285.14,290.24,285.14,282.82,284.67,285.6,275.91,273.16,286.06,293.98,274.53,275.45,281.9,287.46,274.99,,12,968,29,14.52,
25.03.19 14:06:51,5.05,269.96,275.45,275.45,283.75,279.59,282.82,284.67,285.6,279.59,284.67,289.78,285.14,281.9,284.21,285.14,275.45,272.7,285.6,293.04,274.08,274.99,281.44,287.46,274.53,,12,968,29,14.52,
25.03.19 14:07:06,5.3,269.5,275.91,275.45,283.29,279.59,282.82,285.14,285.6,279.59,284.67,289.78,285.14,282.36,284.21,285.14,276.37,273.16,286.53,293.51,274.08,275.45,281.44,287.46,274.99,,12,968,29,14.52,
25.03.19 14:07:21,5.55,269.04,274.99,274.99,282.82,279.13,281.9,284.21,285.14,279.13,283.75,288.85,283.75,281.44,283.75,285.14,275.91,272.24,285.6,293.04,274.08,274.99,280.51,287.46,274.08,,12,968,29,14.52,
25.03.19 14:07:36,5.8,269.04,275.45,274.53,282.82,278.67,281.9,284.21,285.6,278.67,283.29,288.85,283.75,281.44,283.75,285.14,275.91,272.24,285.14,292.57,274.08,274.53,280.98,286.99,274.08,,12,968,29,14.54,
25.03.19 14:07:51,6.05,269.04,274.99,274.53,282.82,278.67,281.44,283.75,285.14,278.21,283.75,288.38,284.21,280.98,283.29,284.21,275.45,271.79,285.14,292.57,273.62,274.53,280.51,286.99,274.08,,12,968,29,14.56,
25.03.19 14:08:06,6.3,268.59,274.53,274.53,282.82,278.21,280.98,283.75,285.14,278.21,283.29,288.38,283.29,280.98,282.82,284.21,274.99,271.79,284.21,292.11,273.62,274.53,280.05,286.53,273.62,,12,968,29,14.57,
25.03.19 14:08:22,6.57,268.59,274.99,274.08,282.36,278.21,281.44,283.75,284.67,278.21,282.82,287.92,283.29,280.98,282.36,284.21,274.99,271.79,284.21,292.11,273.16,274.08,280.05,286.99,273.62,,12,968,29,14.57,
25.03.19 14:08:37,6.82,268.13,274.08,274.08,282.36,277.29,280.98,282.82,284.67,277.75,282.82,287.46,282.82,280.05,281.9,284.21,274.53,271.79,284.21,291.64,273.16,273.62,279.59,286.53,273.62,,12,968,29,14.57,
25.03.19 14:08:52,7.07,267.68,274.08,273.16,282.36,276.37,280.05,282.36,284.21,277.29,282.36,287.46,282.82,279.59,281.9,283.75,274.53,270.87,283.75,290.71,272.7,273.62,279.13,286.06,273.16,,12,968,29,14.57,
25.03.19 14:09:07,7.32,267.68,274.08,273.62,282.36,277.29,280.05,282.82,283.29,276.83,281.9,287.46,282.36,279.59,281.44,283.75,274.08,270.87,283.29,291.18,272.7,273.16,279.13,285.6,273.16,,12,968,29,14.57,
25.03.19 14:09:22,7.57,267.68,274.08,273.62,281.9,276.83,280.05,282.82,283.75,276.83,281.9,286.99,282.36,279.13,281.44,283.75,274.53,270.87,283.29,291.18,272.7,273.16,279.13,285.6,273.16,,12,968,29,14.57,
25.03.19 14:09:37,7.82,267.22,274.08,273.16,281.9,277.29,280.05,282.36,283.75,276.83,281.9,286.53,282.36,279.13,281.44,283.75,274.08,270.87,282.82,291.18,272.7,273.16,278.67,285.6,273.16,,12,968,29,14.57,
