Measurement Name :,20190325_resp_4_T3,,Generated On :,"25/03/2019, 20:29:37",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"25/03/2019, 19:49:45",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"25/03/2019, 20:29:26",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
25.03.19 19:49:47,0.03,301,305.24,303.83,302.89,308.08,308.55,308.08,300.53,309.03,309.98,306.66,300.06,305.72,309.03,308.55,290.24,302.89,310.92,308.08,289.78,301.95,304.77,298.66,292.11,,12,968,29,13.48,
25.03.19 19:50:02,0.28,297.25,301.95,301.95,300.06,306.19,306.19,305.72,299.13,306.66,307.61,304.3,298.19,302.89,308.08,306.66,287.92,300.06,309.5,306.19,286.99,298.19,301.95,295.85,289.31,,12,968,29,13.7,
25.03.19 19:50:17,0.53,294.91,299.13,299.13,298.66,303.36,304.77,304.3,297.25,303.83,305.72,302.42,296.31,300.53,306.19,304.3,285.6,297.25,306.66,304.3,285.6,295.85,300.06,293.04,286.53,,12,968,29,13.84,
25.03.19 19:50:32,0.78,292.11,297.72,297.72,296.31,301.47,302.89,302.89,294.91,301.95,304.77,301.47,294.44,298.66,304.77,302.89,284.67,295.85,305.72,302.42,284.67,293.98,297.72,290.71,285.6,,12,968,29,13.93,
25.03.19 19:50:47,1.03,290.24,295.85,296.78,294.91,300.06,301.95,301.47,294.44,300.06,303.36,300.53,293.04,296.31,303.83,302.42,283.75,293.98,304.3,301,283.29,292.11,295.85,289.31,283.75,,12,968,29,14,
25.03.19 19:51:02,1.28,288.38,294.44,294.91,293.51,298.19,301,300.53,294.44,298.66,301.95,298.66,292.11,294.91,301.95,301,283.29,292.57,302.89,300.06,281.9,290.71,294.91,287.92,281.9,,12,968,29,14.09,
25.03.19 19:51:17,1.53,287.46,293.51,293.98,292.11,295.38,299.6,298.66,293.04,298.19,301,297.72,291.18,293.51,301.47,299.6,281.9,291.64,301.95,298.66,280.51,289.31,293.51,286.53,280.51,,12,968,29,14.11,
25.03.19 19:51:32,1.78,286.06,291.64,293.51,291.18,295.38,299.13,298.66,292.11,297.25,299.6,297.25,290.71,292.57,300.53,298.66,280.51,291.18,300.53,297.72,280.05,288.85,292.57,285.6,280.51,,12,968,29,14.16,
25.03.19 19:51:47,2.03,285.6,291.64,293.51,291.18,293.51,297.72,297.25,292.11,295.38,300.06,295.85,289.78,292.11,300.53,298.19,280.51,290.24,300.06,297.25,278.67,287.92,291.64,284.67,279.59,,12,968,29,14.2,
25.03.19 19:52:02,2.28,284.21,290.24,292.11,289.78,292.57,297.25,296.31,290.71,294.44,298.19,294.91,288.85,290.71,299.13,297.25,280.05,289.31,300.06,296.31,278.67,286.06,291.18,284.67,278.67,,12,968,29,14.22,
25.03.19 19:52:17,2.53,283.29,289.31,291.18,288.38,291.64,296.31,295.85,290.71,293.51,297.72,294.91,288.85,289.78,298.66,296.78,278.67,288.85,298.19,295.38,277.75,285.6,289.78,283.29,278.67,,12,968,29,14.27,
25.03.19 19:52:32,2.78,282.36,289.31,291.18,288.38,291.64,295.85,295.38,289.31,293.04,297.25,293.51,286.99,288.85,297.72,294.91,279.13,287.92,297.72,294.44,276.83,284.67,289.78,282.82,277.75,,12,968,29,14.29,
25.03.19 19:52:48,3.05,281.9,288.85,290.71,287.92,291.18,295.85,295.38,289.31,292.57,297.25,293.98,287.92,288.85,298.19,295.85,278.67,287.46,297.72,293.98,276.83,284.67,289.31,282.36,277.29,,12,968,29,14.31,
25.03.19 19:53:03,3.3,280.98,287.92,290.71,287.46,290.24,294.44,294.91,288.85,292.11,296.78,293.04,286.06,287.92,296.78,294.91,277.75,286.99,297.25,293.51,275.45,284.67,288.38,281.9,277.29,,12,968,29,14.34,
25.03.19 19:53:18,3.55,280.98,288.38,290.24,286.99,289.78,294.44,294.44,289.31,291.64,295.38,292.11,286.53,286.99,295.85,293.98,277.29,286.99,296.78,293.51,275.91,283.75,287.92,281.44,276.83,,12,968,29,14.36,
25.03.19 19:53:33,3.8,280.05,286.53,288.85,286.06,288.85,293.51,293.98,287.92,291.18,295.38,291.64,286.06,286.53,296.78,294.44,276.37,285.6,295.85,292.57,274.99,283.75,287.46,280.51,276.37,,12,968,29,14.39,
25.03.19 19:53:48,4.05,279.13,286.53,288.85,286.06,287.46,293.04,293.51,287.46,290.24,294.44,290.71,285.14,285.6,295.38,293.04,275.91,285.6,294.91,291.64,274.53,283.29,286.99,280.05,274.99,,12,968,29,14.39,
25.03.19 19:54:03,4.3,280.05,286.53,288.38,286.06,287.46,293.04,293.04,288.38,290.24,294.44,290.71,284.67,286.06,295.85,293.04,275.91,285.14,294.91,291.18,274.08,282.82,286.99,280.05,275.91,,12,968,29,14.4,
25.03.19 19:54:18,4.55,280.05,286.06,288.85,286.06,287.92,293.51,293.04,287.92,290.24,294.44,290.24,285.14,285.6,295.38,293.04,276.37,285.6,295.38,291.18,274.53,283.29,286.99,280.05,275.91,,12,968,29,14.41,
25.03.19 19:54:33,4.8,279.13,285.6,288.85,286.06,286.99,293.04,292.57,287.46,289.78,293.98,290.24,284.21,284.67,295.38,292.57,275.45,285.6,294.44,290.71,274.08,282.82,286.53,279.59,274.99,,12,968,29,14.43,
25.03.19 19:54:48,5.05,279.13,284.67,288.38,285.14,286.06,293.04,292.11,287.46,288.85,293.98,290.24,284.21,284.67,294.91,292.57,274.99,284.67,294.44,290.71,273.62,282.36,286.06,279.13,275.45,,12,968,29,14.45,
25.03.19 19:55:03,5.3,277.75,284.67,287.92,284.67,286.06,292.11,291.64,286.53,288.85,293.04,288.85,283.75,284.21,293.98,291.18,274.99,284.21,293.98,290.71,273.16,282.36,286.06,278.67,274.99,,12,968,29,14.45,
25.03.19 19:55:18,5.55,277.75,284.67,287.46,284.67,286.06,292.11,291.64,286.06,288.38,293.04,289.31,283.75,283.75,294.44,291.18,275.45,284.21,293.51,289.78,273.16,281.44,285.6,278.67,274.53,,12,968,29,14.47,
25.03.19 19:55:33,5.8,277.75,284.21,287.46,284.21,285.6,292.11,291.64,286.06,288.38,292.57,288.85,282.82,283.29,293.98,290.71,274.08,283.75,293.04,289.78,272.7,281.44,285.14,278.21,274.53,,12,968,29,14.47,
25.03.19 19:55:48,6.05,277.29,284.21,286.99,284.67,285.14,292.11,290.24,285.6,287.46,292.57,287.46,282.82,283.29,293.51,290.71,274.08,283.29,293.51,289.31,272.7,281.44,284.67,278.21,274.08,,12,968,29,14.48,
25.03.19 19:56:03,6.3,276.83,283.29,286.06,284.21,285.14,291.64,290.71,285.14,286.99,292.11,287.92,281.9,282.82,293.51,290.24,274.53,282.82,292.57,289.31,272.24,280.98,284.67,277.29,273.62,,12,968,29,14.5,
25.03.19 19:56:18,6.55,276.83,283.29,285.6,282.82,283.75,290.71,290.71,285.6,286.99,291.18,287.46,281.9,282.36,292.11,289.78,273.62,282.82,292.11,287.92,272.24,280.51,284.21,277.29,274.08,,12,968,29,14.5,
25.03.19 19:56:33,6.8,276.37,283.29,286.53,282.82,284.21,291.18,289.78,285.14,286.99,291.64,286.99,281.9,282.36,293.04,289.78,274.08,283.29,292.57,288.38,271.33,280.51,284.21,277.29,274.08,,12,968,29,14.52,
25.03.19 19:56:48,7.05,276.83,283.75,286.06,284.21,284.67,291.64,290.24,285.14,286.99,292.11,286.53,281.44,282.36,293.04,289.78,274.53,282.82,292.57,288.85,271.33,280.98,284.67,277.75,274.08,,12,968,29,14.52,
25.03.19 19:57:03,7.3,275.91,281.9,285.6,282.36,283.75,290.71,289.31,285.6,286.06,290.71,286.06,280.98,281.44,292.11,288.85,273.62,282.36,291.64,287.92,270.87,280.51,283.75,276.37,273.16,,12,968,29,14.52,
25.03.19 19:57:18,7.55,276.37,283.29,285.6,282.82,283.75,291.18,289.78,284.67,286.53,291.18,285.6,280.98,281.9,292.57,289.31,273.62,282.36,291.64,287.46,271.33,279.59,283.75,276.83,272.7,,12,968,29,14.52,
