Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
18.04.19 17:21:44,27.83,259.1,260.42,265.74,265.74,259.54,261.75,270.64,267.08,262.64,267.52,267.08,266.63,260.87,267.97,268.41,259.1,259.98,265.74,270.2,258.22,267.08,269.3,269.3,261.31,,13,968,29,15.13,
18.04.19 17:21:59,28.08,259.1,260.42,265.3,265.74,259.54,261.31,271.09,266.63,262.19,267.08,267.08,266.19,260.87,267.52,267.97,259.54,259.98,265.74,270.2,257.78,266.63,269.3,269.75,260.87,,13,968,29,15.14,
18.04.19 17:22:14,28.33,258.66,259.98,265.3,265.3,259.1,261.31,270.64,266.63,262.64,267.08,266.19,265.74,260.42,267.08,267.52,258.66,259.98,265.3,269.3,257.33,266.63,268.86,269.75,260.87,,13,968,29,15.13,
18.04.19 17:22:29,28.58,258.66,260.42,265.3,265.3,259.54,260.87,270.64,266.63,262.64,267.52,266.63,266.19,260.42,267.08,267.97,259.1,259.98,266.19,269.3,256.89,267.08,269.3,269.3,261.31,,13,968,29,15.11,
18.04.19 17:22:44,28.83,259.1,259.98,265.3,265.3,259.54,261.31,270.64,266.63,262.64,267.52,267.08,266.19,260.42,267.08,268.41,259.1,259.98,266.19,269.75,257.78,266.63,268.86,269.3,261.75,,13,968,29,15.11,
18.04.19 17:22:59,29.08,259.1,259.98,265.3,265.74,259.54,261.31,270.2,266.63,262.19,267.52,266.63,266.19,259.98,266.63,267.97,258.66,259.98,265.74,269.75,257.33,266.63,268.86,269.3,260.87,,13,968,29,15.11,
18.04.19 17:23:14,29.33,258.22,259.54,265.3,265.3,258.66,260.42,270.2,266.19,262.19,267.08,265.74,265.3,259.98,267.08,267.52,259.1,259.54,265.3,269.3,256.89,266.19,268.41,269.3,260.42,,13,968,29,15.11,
18.04.19 17:23:29,29.58,258.66,259.1,264.85,264.85,259.1,260.87,270.2,266.19,262.19,267.52,266.19,265.3,260.42,266.63,267.52,258.22,259.54,264.85,269.3,256.89,266.19,268.86,269.3,260.87,,13,968,29,15.09,
18.04.19 17:23:44,29.83,258.66,259.54,264.85,264.85,259.1,260.42,269.75,266.19,262.19,266.63,266.19,265.74,259.54,266.19,267.52,258.22,259.54,265.3,269.3,256.89,266.19,268.41,268.41,260.87,,13,968,29,15.09,
18.04.19 17:23:59,30.08,258.66,259.54,264.85,264.85,259.54,260.87,270.2,266.19,261.75,266.63,266.63,265.74,259.54,267.08,267.08,258.66,259.1,265.3,269.3,256.45,266.19,268.41,269.3,260.42,,13,968,29,15.09,
