Measurement Name :,20190126_resp_larvae_T0,,Generated On :,"26/01/2019, 22:18:39",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"26/01/2019, 21:17:31",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"26/01/2019, 22:18:22",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
26.01.19 21:17:33,0.03,293.47,293.47,312.94,293.92,306.11,302.48,297.06,295.26,293.47,302.48,298.41,292.57,312.03,310.2,306.56,288.1,301.12,307.92,306.11,290.78,337,330,310.2,No Sensor,,14,968,28,14.18,
26.01.19 21:17:48,0.28,293.47,290.78,307.47,295.71,310.2,304.29,297.96,293.92,297.06,302.93,294.36,295.71,302.48,304.74,301.12,287.21,301.12,311.57,313.4,299.77,333.27,333.27,312.94,No Sensor,,14,968,28,14.36,
26.01.19 21:18:03,0.53,287.21,292.57,307.92,294.36,312.94,302.93,294.36,292.57,295.71,301.57,296.61,289.44,306.11,306.56,305.2,281.87,301.57,308.83,301.12,289.44,337.47,330.47,303.38,No Sensor,,14,968,28,14.45,
26.01.19 21:18:18,0.78,288.54,292.12,303.84,293.47,304.29,297.96,295.71,289.88,295.71,302.93,296.16,296.61,301.57,307.01,303.38,286.76,294.81,313.86,302.03,289.88,326.29,327.22,313.4,No Sensor,,14,968,28,14.52,
26.01.19 21:18:33,1.03,287.21,289.44,303.84,287.65,300.67,296.16,295.71,293.02,289.88,302.93,296.16,293.47,301.57,299.77,303.84,282.31,294.81,312.03,303.84,284.98,330,323.51,306.56,No Sensor,,14,968,28,14.57,
