Measurement Name :,20190406_resp_1_T1,,Generated On :,"06/04/2019, 15:22:15",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"06/04/2019, 14:17:10",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"06/04/2019, 15:21:53",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
06.04.19 14:17:12,0.03,302.38,300.08,302.38,303.3,306.07,301.46,306.07,302.38,309.77,305.6,301,301.92,306.99,304.22,306.07,296.87,309.77,315.35,315.35,298.7,312.55,317.68,315.35,306.53,,13,968,29,14.15,
06.04.19 14:17:27,0.28,298.24,296.41,298.24,299.62,303.3,298.7,303.76,299.16,306.07,302.38,298.24,298.7,303.3,302.38,303.3,293.67,306.99,312.55,313.02,295.04,309.77,313.95,312.55,302.84,,13,968,29,14.54,
06.04.19 14:17:42,0.53,294.58,293.21,294.58,296.41,300.08,296.41,301,296.41,302.84,300.08,296.41,296.41,301,300.08,301,290.93,303.76,309.77,310.23,292.3,306.53,311.62,310.23,298.7,,13,968,29,14.77,
06.04.19 14:17:57,0.78,292.3,290.93,292.75,294.58,297.78,294.58,299.62,295.49,300.54,299.16,295.04,295.04,299.16,298.7,299.62,289.11,301.92,309.3,309.3,290.48,304.22,309.77,307.45,297.33,,13,968,29,14.91,
06.04.19 14:18:12,1.03,289.57,288.66,290.48,292.3,295.95,292.75,298.24,293.21,298.24,297.33,293.67,292.3,296.87,296.87,297.78,287.3,299.62,306.99,306.99,288.66,301,307.45,305.6,294.58,,13,968,29,15.06,
06.04.19 14:18:27,1.28,287.3,286.84,289.11,289.57,293.67,291.39,296.41,291.39,296.41,295.49,291.84,290.93,294.58,295.49,296.41,285.93,297.33,305.6,305.6,286.39,299.16,304.68,302.84,292.3,,13,968,29,15.15,
06.04.19 14:18:42,1.53,285.48,285.48,287.75,288.66,292.3,290.48,295.49,290.48,295.49,294.58,290.48,289.57,293.21,294.58,295.49,284.58,295.95,304.22,304.68,285.03,297.78,303.76,301.92,290.93,,13,968,29,15.23,
06.04.19 14:18:57,1.78,283.67,284.12,286.39,286.84,290.48,288.66,293.67,288.66,292.3,293.21,290.02,287.75,291.39,293.21,294.58,282.77,294.12,303.3,302.84,283.67,295.04,301.92,299.62,289.11,,13,968,29,15.29,
06.04.19 14:19:12,2.03,282.77,282.77,285.93,286.39,289.57,288.66,293.21,288.2,291.84,292.75,289.11,287.75,290.48,292.75,293.67,282.77,293.21,301.92,301.92,282.77,295.04,301,299.16,288.2,,13,968,29,15.36,
06.04.19 14:19:27,2.28,280.96,281.86,284.12,284.58,287.75,287.3,292.3,286.84,290.48,290.48,287.75,286.84,289.11,291.39,292.75,280.96,291.84,301,301,281.41,293.67,299.62,297.33,286.84,,13,968,29,15.4,
06.04.19 14:19:42,2.53,280.51,281.41,284.12,283.67,287.3,286.39,291.84,286.39,289.57,290.48,287.3,285.93,288.2,290.93,292.3,280.96,290.48,300.08,300.08,280.96,292.3,298.24,296.87,285.93,,13,968,29,15.43,
06.04.19 14:19:57,2.78,279.16,280.51,282.77,283.22,286.39,285.93,290.93,285.03,288.66,289.57,285.93,285.03,286.84,289.57,291.39,279.61,289.57,299.16,299.16,280.06,290.48,297.33,295.95,285.03,,13,968,29,15.48,
06.04.19 14:20:12,3.03,278.26,280.51,282.32,282.32,285.03,284.58,290.02,284.12,287.75,288.66,285.48,284.58,285.93,289.57,290.48,279.61,288.66,298.7,298.24,279.16,289.57,296.41,295.49,284.58,,13,968,29,15.52,
06.04.19 14:20:27,3.28,277.81,279.61,282.32,282.32,285.03,284.58,289.57,284.12,286.39,288.2,285.03,284.12,285.48,288.66,290.02,278.71,288.2,298.24,298.24,278.71,289.57,295.49,294.12,283.67,,13,968,29,15.56,
06.04.19 14:20:42,3.53,277.81,279.61,281.41,281.41,284.58,284.58,288.66,283.67,285.93,288.66,284.58,283.67,285.03,288.2,290.02,278.26,286.84,297.78,297.78,278.26,288.66,295.04,294.58,283.67,,13,968,29,15.57,
06.04.19 14:20:57,3.78,276.46,278.71,281.41,280.51,283.22,283.22,288.2,283.22,285.03,286.84,283.67,283.22,283.67,287.3,289.11,277.36,286.39,296.41,296.41,277.81,287.3,294.12,293.21,282.77,,13,968,29,15.61,
06.04.19 14:21:12,4.03,276.01,278.26,280.06,280.06,282.77,282.77,287.75,282.32,284.58,286.39,283.22,282.32,282.77,286.84,288.66,277.36,286.39,296.41,295.95,277.36,287.3,293.21,292.75,281.86,,13,968,29,15.64,
06.04.19 14:21:27,4.28,276.01,277.81,280.51,280.06,282.32,282.32,286.84,282.32,284.12,285.93,282.77,282.32,281.86,286.39,287.75,276.91,284.58,295.49,295.49,276.91,285.93,292.75,292.3,281.86,,13,968,29,15.65,
06.04.19 14:21:42,4.53,275.57,277.36,280.06,280.06,281.86,282.32,286.84,281.41,283.67,285.48,281.86,282.32,281.41,285.93,287.75,276.46,284.58,295.49,294.58,276.46,285.93,292.3,291.39,281.86,,13,968,29,15.68,
06.04.19 14:21:57,4.78,275.12,277.36,279.61,279.61,281.41,280.96,286.39,281.41,282.77,284.58,281.86,281.41,280.51,285.03,286.84,276.01,283.67,294.58,294.12,276.01,285.03,291.84,291.39,280.96,,13,968,29,15.7,
06.04.19 14:22:12,5.03,275.12,276.46,279.61,279.16,280.51,280.96,285.48,280.51,281.86,284.12,280.96,280.51,280.51,284.58,285.93,275.57,283.22,294.12,293.67,275.57,284.58,290.93,290.48,280.51,,13,968,29,15.7,
06.04.19 14:22:27,5.28,274.22,276.91,279.16,278.26,280.51,280.51,285.48,280.51,281.41,284.12,280.96,280.96,279.61,284.12,285.93,275.57,282.77,293.67,293.21,275.12,284.12,290.48,290.48,280.06,,13,968,29,15.73,
06.04.19 14:22:42,5.53,274.67,276.46,279.16,278.71,280.51,280.51,285.48,280.06,281.86,283.67,280.51,280.96,279.61,284.58,286.39,275.57,282.32,293.67,293.67,275.57,284.12,290.48,290.48,280.06,,13,968,29,15.75,
06.04.19 14:22:57,5.78,274.22,276.01,279.16,278.71,280.06,280.06,285.03,280.51,281.41,283.22,280.51,280.96,279.16,284.12,286.39,275.12,281.86,293.21,293.21,275.12,283.67,290.02,290.02,280.06,,13,968,29,15.77,
06.04.19 14:23:12,6.03,274.67,276.01,278.71,278.26,279.16,280.06,284.12,280.06,280.06,282.77,279.61,280.06,278.71,283.22,285.03,275.12,281.41,292.75,292.3,275.12,282.77,289.57,289.57,279.61,,13,968,29,15.77,
06.04.19 14:23:27,6.28,273.77,275.57,278.71,278.26,278.71,279.61,283.67,279.61,280.51,282.77,279.16,280.06,278.26,282.77,285.03,274.22,280.96,291.84,291.84,274.67,282.32,289.11,289.57,279.61,,13,968,29,15.79,
