Measurement Name :,20190204_resp_larvae_T2,,Generated On :,"04/02/2019, 18:40:11",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"04/02/2019, 18:12:38",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"04/02/2019, 18:40:00",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
04.02.19 18:12:40,0.03,267.08,267.98,273.81,260.4,266.19,262.18,262.18,260.4,267.08,267.98,261.29,263.51,265.3,259.95,265.3,256.85,264.85,263.96,263.96,258.18,265.3,264.85,264.4,258.62,,13,968,28,12.59,
04.02.19 18:12:55,0.28,265.74,267.98,273.81,259.51,265.74,260.4,261.73,260.84,267.53,267.53,262.18,265.3,265.74,259.51,266.19,256.41,264.85,263.51,264.4,257.29,265.3,264.4,264.85,259.95,,13,968,28,12.59,
04.02.19 18:13:11,0.55,267.08,268.42,274.26,259.95,265.74,260.84,262.18,260.84,267.98,267.98,263.51,263.96,265.74,259.06,266.19,256.85,265.74,263.96,264.85,257.73,266.19,265.74,265.3,259.06,,13,968,28,12.59,
04.02.19 18:13:26,0.8,265.3,268.42,274.26,261.29,265.74,260.4,263.51,261.29,267.08,267.98,263.51,264.4,265.74,258.62,265.3,256.85,265.3,262.62,265.74,257.29,265.74,264.85,263.96,258.62,,13,968,28,12.59,
04.02.19 18:13:41,1.05,267.08,267.98,274.26,260.84,265.74,262.62,262.62,260.84,267.98,267.98,264.4,264.85,265.3,258.18,265.74,256.85,266.19,263.07,265.74,256.85,266.19,265.74,265.3,259.06,,13,968,28,12.61,
04.02.19 18:13:57,1.32,266.64,267.53,274.71,260.84,265.3,263.07,263.07,261.73,267.98,268.42,263.96,263.51,265.74,258.62,265.74,257.29,265.74,263.51,266.19,257.73,266.19,264.85,265.3,259.95,,13,968,28,12.61,
