sample,mass,salinity,Sample.ID,Type, Notes,,
20190316_6B,59.9305,28.55,6B,conical,,,
20190315_5B,60.4452,28.55,5B,conical,,,
20190315_6B,60.6648,28.55,6B,conical,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
