sample,mass,salinity,Sample.ID,Type, Notes,,
20190317_T0,60.9365,28.19,T0,conical,,,
20190317_T1,60.3961,28.56,T1,conical,,,
20190317_T2,60.3675,28.6,T2,conical,,,
20190317_T3,59.8603,28.57,T3,conical,,,
20190316_T0,59.6707,28.46,T0,conical,,,
20190316_T1,60.8471,28.55,T1,conical,,,
20190316_T2,59.0781,28.54,T2,conical,,,
20190316_T3,60.3464,28.55,T3,conical,,,
20190316_5B,59.8194,28.52,5B,conical,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
